gena	genb	mut.info
1	AKT1	ATR	0.0051655942724711
2	AKT1	AURKB	0.0397016713571752
3	AKT1	BRAF	0.0154242615063609
4	AKT1	CAMK2A	0.0310693184216895
5	AKT1	CDK1	0.0520377198363988
6	AKT1	CDK2	0.00209507071728154
7	AKT1	CDK4	0.000104829253958272
8	AKT1	CDK5	0.00422732687398053
9	AKT1	CDK7	0.0355890169292508
10	AKT1	CHEK1	0.0153265202757495
11	AKT1	CHEK2	0.0103140841695559
12	AKT1	CSNK2A1	0.0468107440913652
13	AKT1	DYRK1A	-0.0189508415398869
14	AKT1	DYRK2	0.0066705195848531
15	AKT1	GSK3B	0.0174758429703097
16	AKT1	LYN	0.0196364592740235
17	AKT1	MAPK1	0.00894648690276512
18	AKT1	MAPK14	0.0279556533355585
19	AKT1	MAPK8	0.00939312140820192
20	AKT1	MAPKAPK2	0.0468580333364983
21	AKT1	MARK2	0.0491442255538423
22	AKT1	MTOR	0.0271273553169884
23	AKT1	PAK1	0.00856196633846373
24	AKT1	PAK2	-0.00126838110800342
25	AKT1	PLK1	0.0167266677530193
26	AKT1	PRKAA1	0.0312823868353842
27	AKT1	PRKACA	0.122216044836527
28	AKT1	PRKCA	0.115637959680214
29	AKT1	PRKCB	0.0353646358488682
30	AKT1	PRKCD	0.00110327938243238
31	AKT1	PRKCE	0.0281845136115813
32	AKT1	PRKCI	0.0339965652649283
33	AKT1	PRKD1	0.0646873603409865
34	AKT1	PRKG1	0.024544691869524
35	AKT1	ROCK1	0.0480810911018139
36	AKT1	RPS6KA1	0.0885386326849122
37	AKT1	RPS6KA3	0.0554628816279052
38	AKT1	RPS6KB1	0.0628340225913213
39	AKT1	SGK1	0.0788120717402929
40	AKT1	SRC	0.0333011403504955
41	ATR	AURKB	0.0127891016187327
42	ATR	BRAF	0.0176497549339079
43	ATR	CAMK2A	0.00642153083701302
44	ATR	CDK1	0.0359044586486892
45	ATR	CDK2	0.000339096776093228
46	ATR	CDK4	0.0139383028695477
47	ATR	CDK5	0.0191318252134316
48	ATR	CDK7	0.0507748298370352
49	ATR	CHEK1	0.0163225471270394
50	ATR	CHEK2	0.0103471840223239
51	ATR	CSNK2A1	0.0421924235951767
52	ATR	DYRK1A	-0.012659673201874
53	ATR	DYRK2	-0.00616186603052427
54	ATR	GSK3B	-0.012454661943476
55	ATR	LYN	-0.0196232849345837
56	ATR	MAPK1	0.0313113975863804
57	ATR	MAPK14	0.00879391244716565
58	ATR	MAPK8	0.0153594835151711
59	ATR	MAPKAPK2	0.0171700240554404
60	ATR	MARK2	-0.00382013129805969
61	ATR	MTOR	0.0207839532650826
62	ATR	PAK1	0.0263285543537179
63	ATR	PAK2	0.00785038466291965
64	ATR	PLK1	0.033335733584865
65	ATR	PRKAA1	0.0200555371499878
66	ATR	PRKACA	0.00192357257856379
67	ATR	PRKCA	-0.00360186521195338
68	ATR	PRKCB	0.0491038773226933
69	ATR	PRKCD	0.0399664509946831
70	ATR	PRKCE	0.0211971670038817
71	ATR	PRKCI	-0.00803996193449663
72	ATR	PRKD1	0.0299662648671077
73	ATR	PRKG1	-0.0114455555521893
74	ATR	ROCK1	0.0164368213370611
75	ATR	RPS6KA1	0.0138674642475447
76	ATR	RPS6KA3	0.0136107988043292
77	ATR	RPS6KB1	0.0130126403758108
78	ATR	SGK1	0.0329732629857418
79	ATR	SRC	0.0153652203431793
80	AURKB	BRAF	0.0264543787735914
81	AURKB	CAMK2A	0.0222186487688383
82	AURKB	CDK1	0.00410955763450893
83	AURKB	CDK2	0.00719730781105277
84	AURKB	CDK4	-0.00283958161661069
85	AURKB	CDK5	-0.00338153068241454
86	AURKB	CDK7	0.039149714955343
87	AURKB	CHEK1	0.0456402778713674
88	AURKB	CHEK2	0.0386531645560559
89	AURKB	CSNK2A1	0.0291300962514942
90	AURKB	DYRK1A	-0.0131912925857218
91	AURKB	DYRK2	-0.0158895009949411
92	AURKB	GSK3B	0.00950673863785134
93	AURKB	LYN	0.0194210633770027
94	AURKB	MAPK1	0.0124166201754488
