gena	genb	mut.info
1	AKT1	ATR	0.0522646419851163
2	AKT1	AURKB	0.08801575489341
3	AKT1	BRAF	0.0610571489319214
4	AKT1	CAMK2A	0.0551501219147941
5	AKT1	CDK1	0.0703918125870335
6	AKT1	CDK2	0.0506370151001119
7	AKT1	CDK4	0.0600875373006544
8	AKT1	CDK5	0.0478236877937568
9	AKT1	CDK7	0.0651057975178944
10	AKT1	CHEK1	0.0544977499165071
11	AKT1	CHEK2	0.049696186355245
12	AKT1	CSNK2A1	0.0690477247175614
13	AKT1	DYRK1A	0.0467237351280541
14	AKT1	DYRK2	0.0450923439540918
15	AKT1	GSK3B	0.0570266009529328
16	AKT1	LYN	0.0523394268905735
17	AKT1	MAPK1	0.0361691595210609
18	AKT1	MAPK14	0.0671282702939
19	AKT1	MAPK8	0.0453275131450184
20	AKT1	MAPKAPK2	0.0838835212676559
21	AKT1	MARK2	0.0400731946651485
22	AKT1	MTOR	0.0426367267384364
23	AKT1	PAK1	0.057721038091151
24	AKT1	PAK2	0.0451205165378541
25	AKT1	PLK1	0.048617028032397
26	AKT1	PRKAA1	0.0656226767696624
27	AKT1	PRKACA	0.15282821355897
28	AKT1	PRKCA	0.117163336558245
29	AKT1	PRKCB	0.0575971596213658
30	AKT1	PRKCD	0.0594606096308157
31	AKT1	PRKCE	0.0769715636910431
32	AKT1	PRKCI	0.0593073173817666
33	AKT1	PRKD1	0.0766555025027786
34	AKT1	PRKG1	0.0838883370741894
35	AKT1	ROCK1	0.0772910862574414
36	AKT1	RPS6KA1	0.141456586073051
37	AKT1	RPS6KA3	0.09707516167399
38	AKT1	RPS6KB1	0.101206593400774
39	AKT1	SGK1	0.097839926786139
40	AKT1	SRC	0.0463871381719083
41	ATR	AURKB	0.0393036565396785
42	ATR	BRAF	0.0473861069116848
43	ATR	CAMK2A	0.0447118488591003
44	ATR	CDK1	0.0480621713971576
45	ATR	CDK2	0.0319484145589497
46	ATR	CDK4	0.0589377452575421
47	ATR	CDK5	0.0589182379690514
48	ATR	CDK7	0.0619490600240455
49	ATR	CHEK1	0.0664612946949115
50	ATR	CHEK2	0.041684496520217
51	ATR	CSNK2A1	0.057281861934027
52	ATR	DYRK1A	0.0432107777117725
53	ATR	DYRK2	0.0365222151993443
54	ATR	GSK3B	0.0335460782124124
55	ATR	LYN	0.0379549026474844
56	ATR	MAPK1	0.043735420848527
57	ATR	MAPK14	0.0560024086823137
58	ATR	MAPK8	0.0407366741548487
59	ATR	MAPKAPK2	0.0559242115223775
60	ATR	MARK2	0.0374699925165434
61	ATR	MTOR	0.0514577819360325
62	ATR	PAK1	0.0469716643067035
63	ATR	PAK2	0.0300942798712169
64	ATR	PLK1	0.0614071194486048
65	ATR	PRKAA1	0.0475301966869197
66	ATR	PRKACA	0.0355284632351305
67	ATR	PRKCA	0.0477727180843921
68	ATR	PRKCB	0.053863273016709
69	ATR	PRKCD	0.0556579504973671
70	ATR	PRKCE	0.0506179284739003
71	ATR	PRKCI	0.035711127944893
72	ATR	PRKD1	0.0515774631684591
73	ATR	PRKG1	0.0261683653061842
74	ATR	ROCK1	0.0492890675020101
75	ATR	RPS6KA1	0.0373880694067248
76	ATR	RPS6KA3	0.0368080609538985
77	ATR	RPS6KB1	0.0480029611292387
78	ATR	SGK1	0.0541120283783818
79	ATR	SRC	0.0440685799321998
80	AURKB	BRAF	0.0545168068236261
81	AURKB	CAMK2A	0.0603863155958035
82	AURKB	CDK1	0.0436315937273184
83	AURKB	CDK2	0.0458770339749779
84	AURKB	CDK4	0.0453299267590217
85	AURKB	CDK5	0.0337649767198336
86	AURKB	CDK7	0.066702872877948
87	AURKB	CHEK1	0.0796199571503209
88	AURKB	CHEK2	0.0560953027412796
89	AURKB	CSNK2A1	0.0528507624836569
90	AURKB	DYRK1A	0.0378021627814475
91	AURKB	DYRK2	0.0455676595037362
