gena	genb	mut.info
1	ABL1	ADRBK1	0.107642328657982
2	ABL1	AKT1	0.082788900810582
3	ABL1	ATM	0.0779629783451381
4	ABL1	ATR	0.098245577699807
5	ABL1	AURKA	0.0454117633771336
6	ABL1	AURKB	0.0439757593377808
7	ABL1	BMX	0.247301439613192
8	ABL1	BRAF	0.0367762998415206
9	ABL1	BTK	0.127976142409176
10	ABL1	CAMK1	0.1192231801498
11	ABL1	CAMK2A	0.157324141905419
12	ABL1	CAMK2D	0.069399942437312
13	ABL1	CDC7	0.112176151693002
14	ABL1	CDK1	0.0680716465599507
15	ABL1	CDK2	0.075662433186602
16	ABL1	CDK4	0.0632643342131272
17	ABL1	CDK5	0.092714395170634
18	ABL1	CDK7	0.0554671256164263
19	ABL1	CDK9	0.052584820350547
20	ABL1	CHEK1	0.0958493980334967
21	ABL1	CHEK2	0.113215039533972
22	ABL1	CHUK	0.0856473341145567
23	ABL1	CSNK1A1	0.0729938286047229
24	ABL1	CSNK1D	0.108444644597505
25	ABL1	CSNK2A1	0.0732804621411685
26	ABL1	DAPK1	0.0481696113575252
27	ABL1	DYRK1A	0.0362441416439512
28	ABL1	DYRK2	0.1105089107276
29	ABL1	EGFR	0.116660985684012
30	ABL1	ERBB2	0.109808584940046
31	ABL1	FER	0.0629008450554136
32	ABL1	FYN	0.0759693311859624
33	ABL1	GRK4	0.0819019884364645
34	ABL1	GSK3B	0.11621126610677
35	ABL1	HCK	0.102767001760321
36	ABL1	IKBKB	0.13204061167259
37	ABL1	INSR	0.115057908847386
38	ABL1	IRAK1	0.186928216189196
39	ABL1	JAK2	0.15635421736891
40	ABL1	LATS1	0.0834396105586226
41	ABL1	LCK	0.126644192981544
42	ABL1	LYN	0.0935528545365911
43	ABL1	MAP2K1	0.1100225376036
44	ABL1	MAP2K4	0.0922774387711134
45	ABL1	MAP3K5	0.068956516986189
46	ABL1	MAP3K7	0.0324626334237101
47	ABL1	MAP3K8	0.104313414048837
48	ABL1	MAPK1	0.0597998863443721
49	ABL1	MAPK11	0.060102421903566
50	ABL1	MAPK14	0.0382149968566123
51	ABL1	MAPK7	0.111245439334909
52	ABL1	MAPK8	0.00138777230939002
53	ABL1	MAPKAPK2	0.108312118573296
54	ABL1	MARK2	0.0639436723528188
55	ABL1	MELK	0.0867799829212674
56	ABL1	MET	0.209839417718193
57	ABL1	MTOR	0.0341971399636334
58	ABL1	NEK6	0.113146844108474
59	ABL1	PAK1	0.0489612345429937
60	ABL1	PAK2	0.0798575169762259
61	ABL1	PAK4	0.0489353716935383
62	ABL1	PDGFRB	0.148280007072306
63	ABL1	PDPK1	0.11624350064058
64	ABL1	PIM1	0.0946578252474954
65	ABL1	PLK1	0.124588762334845
66	ABL1	PLK3	0.0966617747420289
67	ABL1	PRKAA1	0.0969526773912484
68	ABL1	PRKACA	0.10702790780089
69	ABL1	PRKCA	0.105170853287749
70	ABL1	PRKCB	0.0779990126144643
