gena	genb	mut.info
1	ABL1	AKT1	0.0268415681343757
2	ABL1	ATM	0.0136669781798102
3	ABL1	ATR	0.0141938471561209
4	ABL1	AURKA	0.033680023257229
5	ABL1	AURKB	0.0362030109547171
6	ABL1	BRAF	0.0220579331710851
7	ABL1	CAMK1	0.0751927949160049
8	ABL1	CAMK2A	0.0359298249322175
9	ABL1	CAMK2D	0.0433096843677792
10	ABL1	CDC7	0.0405294080266088
11	ABL1	CDK1	0.0338794554355575
12	ABL1	CDK2	0.0257456257988018
13	ABL1	CDK4	0.0348153133014981
14	ABL1	CDK5	0.0366568167616328
15	ABL1	CDK7	0.0200848740882589
16	ABL1	CDK9	0.0396264431858335
17	ABL1	CHEK1	0.032292175016734
18	ABL1	CHEK2	0.017048741056592
19	ABL1	CHUK	0.0276131995973081
20	ABL1	CSNK1A1	0.0294905059353665
21	ABL1	CSNK1D	0.0289722681144178
22	ABL1	CSNK2A1	0.0339426403305998
23	ABL1	DAPK1	0.0457949363136896
24	ABL1	DYRK1A	0.0324181031569188
25	ABL1	DYRK2	0.0646363982464995
26	ABL1	EGFR	0.0364367655223523
27	ABL1	FYN	0.066111809684902
28	ABL1	GSK3B	0.0150785641864277
29	ABL1	IKBKB	0.0459611234024297
30	ABL1	INSR	0.0592702403536327
31	ABL1	IRAK1	0.0643818209021534
32	ABL1	JAK2	0.0584333403981825
33	ABL1	LATS1	0.0392391435428512
34	ABL1	LCK	0.0791686713208817
35	ABL1	LYN	0.0987478021272574
36	ABL1	MAP2K1	0.0611304504559973
37	ABL1	MAP2K4	0.0576725548772319
38	ABL1	MAP3K5	0.0435754168267395
39	ABL1	MAP3K7	0.027406600193101
40	ABL1	MAP3K8	0.00319769173768858
41	ABL1	MAPK1	0.0143823091852826
42	ABL1	MAPK11	0.0214635863088897
43	ABL1	MAPK14	0.023767818253654
44	ABL1	MAPK7	0.0340864824174378
45	ABL1	MAPK8	0.0290426625516038
46	ABL1	MAPKAPK2	0.0353205348402121
47	ABL1	MARK2	0.0261756969750135
48	ABL1	MTOR	0.0271160190247817
49	ABL1	NEK6	0.0370036005059924
50	ABL1	PAK1	0.0802853177837437
51	ABL1	PAK2	0.0322372733312548
52	ABL1	PAK4	0.0200811614475143
53	ABL1	PDPK1	0.0418760174259334
54	ABL1	PIM1	0.0175855928038606
55	ABL1	PLK1	0.0408723480324773
56	ABL1	PLK3	0.0361094525735921
57	ABL1	PRKAA1	0.0441881320078208
58	ABL1	PRKACA	0.0338034652611032
59	ABL1	PRKCA	0.0254303992419658
60	ABL1	PRKCB	0.0567493013120655
61	ABL1	PRKCD	0.037183261470775
62	ABL1	PRKCE	0.056832748059982
63	ABL1	PRKCI	0.047489062203661
64	ABL1	PRKCQ	0.0251003386324582
65	ABL1	PRKCZ	0.0311873502537061
66	ABL1	PRKD1	0.0166484548003303
67	ABL1	PRKG1	0.0403860466087798
68	ABL1	RET	0.0696066988810644
69	ABL1	ROCK1	0.0201417200490042
70	ABL1	RPS6KA1	0.0381238596865701
71	ABL1	RPS6KA3	0.0243192091731226
72	ABL1	RPS6KA5	0.0378035370443874
73	ABL1	RPS6KB1	0.0410972911357335
74	ABL1	SGK1	0.0286886041747438
75	ABL1	SRC	0.0842538075202657
76	ABL1	STK11	0.0322762055269634
77	ABL1	SYK	0.0455143132586922
78	ABL1	TBK1	0.0416132412993933
79	ABL1	TTK	0.0257579297618
80	ABL1	ULK1	0.0265782286888885
81	ABL1	VRK1	0.0645008720581735
82	AKT1	ATM	0.0329449451277002
83	AKT1	ATR	0.0244160089765106
84	AKT1	AURKA	0.0325542233942593
85	AKT1	AURKB	0.0256281360399635
86	AKT1	BRAF	0.0255333497297676
87	AKT1	CAMK1	0.03919500176832
88	AKT1	CAMK2A	0.019937730851574
89	AKT1	CAMK2D	0.0333031690705234
90	AKT1	CDC7	0.0389515783577132
91	AKT1	CDK1	0.0216508117388106
92	AKT1	CDK2	0.0437641083542952
93	AKT1	CDK4	0.0290167593683757
94	AKT1	CDK5	0.021939706890072
95	AKT1	CDK7	0.0251384019652141
96	AKT1	CDK9	0.0306294152260524
97	AKT1	CHEK1	0.0607367904727978
98	AKT1	CHEK2	0.0406004791639578
99	AKT1	CHUK	0.016082200603734
100	AKT1	CSNK1A1	0.0359956209933481
101	AKT1	CSNK1D	0.0248035975001279
102	AKT1	CSNK2A1	0.0224039118269186
103	AKT1	DAPK1	0.0247535242580765
104	AKT1	DYRK1A	0.0286706031082771
105	AKT1	DYRK2	0.0269599672086831
106	AKT1	EGFR	0.0196720181456369
107	AKT1	FYN	0.024479627309955
108	AKT1	GSK3B	0.0165185221385862
109	AKT1	IKBKB	0.0410650196690083
110	AKT1	INSR	0.0286367498504152
111	AKT1	IRAK1	0.0365934285401348
112	AKT1	JAK2	0.0145883199510628
113	AKT1	LATS1	0.0376022415975976
114	AKT1	LCK	0.0340319753729572
115	AKT1	LYN	0.0360639451982889
116	AKT1	MAP2K1	0.0285749756531737
117	AKT1	MAP2K4	0.0310262072074265
118	AKT1	MAP3K5	0.0338810344676821
119	AKT1	MAP3K7	0.0219286501733809
120	AKT1	MAP3K8	0.00391988660081477
121	AKT1	MAPK1	0.00983540310163011
122	AKT1	MAPK11	0.0236354094727105
123	AKT1	MAPK14	0.0047631232527392
124	AKT1	MAPK7	0.0398353916169643
125	AKT1	MAPK8	0.0185141290855886
