AKT1	ATR	AURKB	BRAF	CAMK2A	CDK1	CDK2	CDK4	CDK5	CDK7	CHEK1	CHEK2	CSNK2A1	DYRK1A	DYRK2	GSK3B	LYN	MAPK1	MAPK14	MAPK8	MAPKAPK2	MARK2	MTOR	PAK1	PAK2	PLK1	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKD1	PRKG1	ROCK1	RPS6KA1	RPS6KA3	RPS6KB1	SGK1	SRC
AKT1	1	0.0223752465576193	-0.0194346964138917	0.0283774850584575	0.0623376038169486	-0.0769489276850558	0.0539862534168086	-0.0319111410132718	-0.079366345394366	-0.00935292880218254	0.138152974209031	-0.0290669400196296	-0.0548200520472703	0.0535419842083606	0.0494441492356827	-0.000140167558988132	0.0900432192986236	-0.0244694450177787	0.0411062663206503	-0.00326308566839386	0.0490165582089597	-0.0394534538560601	-0.0111742022671596	0.0230969806929176	-0.0605628059568509	-0.11823385905658	0.0993717208632282	0.14657288761253	0.177385183317107	0.0296135542757406	-0.0227739871231763	-0.0465905990558799	0.00815668125214852	0.0127315549094998	0.030581883176493	0.0226944063253973	0.189209975105031	0.0626855716771004	0.0798338797195864	0.0724537644989695	0.04288966448559
ATR	0.0223752465576192	1	-0.00315348152825874	0.0200553622818424	0.00280444264933812	0.0520089213335043	-0.0462896642151822	0.0953429201437394	-0.0225482913370685	0.014539208969117	0.0424167884482783	0.0221491283136047	0.0342726932837489	0.0139489111713193	-0.0315895366751573	-0.0280971188610794	0.0795870422638526	0.00637638992232152	-0.0192844596855603	0.0179411593146897	-0.0593510554632427	0.00701826246716333	0.0323180537908464	-0.0915477879944762	0.0646647039918153	-0.0315616607947028	0.070922452232314	0.0392924694159278	0.0531020606247818	-0.0057670215616327	-0.0319179733650736	0.0226348979043844	-0.0016848027869504	0.0585097609749095	-0.0852894960064008	0.0956562340995912	-0.00845088104532556	-0.0132635414931216	0.0182997433668264	-0.00248221857902689	-0.069149459368419
AURKB	-0.0194346964138917	-0.00315348152825874	1	-0.0437947119809238	0.00130072515617314	-0.0355415850503765	0.0451061912302384	0.0970061841565032	0.0330354716501094	0.000444992920133522	0.222859301879494	-0.033015757677922	-0.0686176419474035	-0.0257821186102216	-0.051326209037236	-0.0564709293003581	0.097433292868459	-0.112361061825424	-0.0143739173220061	-0.0498530203653636	0.0872655553853608	0.0373561424571516	-0.0423172574933649	0.080395424368958	0.0278675897922977	0.0193106350571403	0.00249545379043594	0.0414245198371799	0.0520172461281064	0.0452300585909228	-0.019875010254068	-0.014792998605012	0.0275986556028726	0.0250418373799041	-0.0719608264055432	0.0020946410153052	0.017200687245752	0.0252734398469053	0.0527706003020279	0.0413168618415991	-0.0219425676235452
BRAF	0.0283774850584574	0.0200553622818424	-0.0437947119809238	1	0.0330165493716022	-0.0717984593645848	0.0255821064014102	-0.0565347215873785	-0.0176149630044465	-0.0262294340122127	0.0456657665114369	0.0260661636300627	-0.010061675143083	-0.0379439742528651	-0.000535305848728056	-0.0383151549190418	0.0407654060872211	-0.0476026767261895	0.0103669772193411	0.0015754222924885	-0.0818779371011842	-0.114117785866464	0.0406798408875475	0.202268181768818	0.0336470184553471	0.0566638547446687	-0.0037657276933778	-0.0660186194123711	-0.078329604809174	0.0429309972027544	-0.0994500756222827	0.274151538077302	0.364353382774849	0.140033910886231	0.0266317042591025	0.00392272839348063	0.0429713911374982	0.0590707253970321	0.0394986728129959	-0.0125069307686063	-0.0276325933946945
CAMK2A	0.0623376038169485	0.00280444264933812	0.00130072515617312	0.0330165493716022	1	-0.00391200789972401	0.0448892561233487	-0.0282059996576927	0.0322844551232315	-0.0859658939377089	-0.0175269671511859	-0.0667616469269899	0.0956286737646706	-0.0745389625487543	0.0107178677643028	0.0491001355456691	0.0747886288552509	-0.0409647719148833	0.0024122106208078	-0.0139120252508179	-0.008411948186087	0.0703359854494608	0.0197639194745624	0.0769086552123991	-0.118901897953052	-0.0327216158189575	0.100399103643037	-0.000303832245567896	0.0443780017129725	0.0933115013697078	0.0641266079942296	-0.0238848725555789	-0.046608181944239	0.101284686096573	0.0867705387281325	0.0499581760486029	-0.0831791865552353	0.00879178170281271	0.0104933485890261	0.00554414638235275	-0.0373821016557412
CDK1	-0.0769489276850557	0.0520089213335043	-0.0355415850503765	-0.0717984593645848	-0.003912007899724	1	0.594423130829217	0.0679006683713439	0.0683936906922365	0.0350998939817636	-0.0498365465129978	0.00208771709176599	0.0432928417652178	-0.059962113931133	-0.0300116391978384	0.0655759771951946	0.027274334773355	0.157157656896985	-0.0310091568559032	-0.0151874781052563	-0.000775547032395069	0.0820599464210496	-0.0515391538060695	0.0107260895106483	-0.0271314709985022	0.0730301646974788	-0.065114966150243	-0.0237298586328095	0.0555029716418778	0.111750251263469	-0.00454618873029585	0.014713157424245	0.0460253978238666	0.0103989099855711	0.0338837536993932	-0.0707306652399534	0.0335260965019745	-0.0268719182143711	0.0298649192753642	0.0656489200413145	0.0489385694724206
CDK2	0.0539862534168086	-0.0462896642151822	0.0451061912302383	0.0255821064014101	0.0448892561233487	0.594423130829217	1	0.102151273147967	0.0836638861072357	0.103484506026816	0.000825720987686033	-0.0239690699043784	0.034645607557674	0.0466865160833414	-0.0491461338403935	-0.0336824906710081	-0.0340446020398619	0.0424219842376744	-0.0227647905340531	-0.00858805244334361	0.01201615358859	0.0534677416426679	0.0965661286992093	0.0210101745145279	-0.0335995283455076	-0.0378595593779146	-0.0368670570235536	-0.0508987776067236	-0.0427581742381073	0.0313926646460619	-0.0170645291448751	-0.0403946477235605	-0.00557393926539774	-0.0210356387694179	-0.0914657051567957	0.00429186629309332	0.00210100117852206	-0.0370259696961781	-0.0165717266676991	-0.00974702277058104	0.0645411417337631
CDK4	-0.0319111410132718	0.0953429201437394	0.0970061841565032	-0.0565347215873785	-0.0282059996576927	0.067900668371344	0.102151273147967	1	0.0603839523990354	0.0130541136537102	0.0447946630454748	-0.0536473333594317	-0.0230694731048971	0.0852734269941652	0.12332800640725	-0.0773699268644399	-0.0394844076747016	-0.0677444936407139	0.0355219868212785	0.00292588059583567	-0.0452206623874272	-0.0937179048814058	-0.00903235394663233	0.0657132968076511	-0.0131918225825126	-0.0832308491730797	0.0292095866718905	-0.0489582064885445	-0.0532930637284632	-0.0670495427836773	-0.0473921090202142	0.0416754850626968	-0.045495454737439	-0.000348811402410303	-0.0495567470411283	0.0376259634969327	-0.0513583346636326	0.0346666968042912	-0.0337555316118041	-0.0106456641105656	-0.001464442201621
CDK5	-0.0793663453943659	-0.0225482913370685	0.0330354716501094	-0.0176149630044465	0.0322844551232315	0.0683936906922365	0.0836638861072357	0.0603839523990354	1	0.00691293866835378	-0.000628783014788508	-0.0116321614928007	-0.0363161261161469	-0.0152649759170119	0.0681142670574798	0.0414865317188809	0.0434150029594837	-0.0547374275206136	0.0710886377517568	-0.0131413699508576	0.0329461527574999	-0.074597725733789	0.0718301318190185	-0.0742219999149458	-0.0371175286524888	0.00703887911698385	0.0557676021430642	0.061782735707441	0.0204728953453991	0.0438040285986439	0.0281132383073218	-0.0105317660878125	-0.0415011910795768	0.0446885847570167	-0.00837017923104409	-0.0203013956927783	-0.000592199987313427	0.0101128126082131	-0.0140716660629903	0.00607135947501054	-0.0550036060284271
CDK7	-0.00935292880218253	0.014539208969117	0.000444992920133508	-0.0262294340122127	-0.0859658939377089	0.0350998939817636	0.103484506026816	0.0130541136537102	0.00691293866835379	1	0.00508886308357178	0.0672467574012453	0.133362252027301	-0.158342535570505	0.0603482358081801	0.116402042112965	-0.00452279903750805	-0.0874935275171331	-0.0329709432190875	0.113587168376408	0.0810334818460326	0.0386750974737195	-0.0249082089208568	-0.00616008997981711	-0.0451460781229491	0.0691154081668278	0.0766382770973919	0.0271187850548939	-0.0203286841516236	-0.0589322513721551	-0.0167904422365602	0.0368702038888063	0.0300221994524098	0.000346233322773311	0.0442362602182656	0.00329017090339843	-0.0467347961595547	0.0290311142781093	0.0659337720240019	0.0183460365851925	-0.058643187144913
