ABL1	ADRBK1	AKT1	ATM	ATR	AURKA	AURKB	BMX	BRAF	BTK	CAMK1	CAMK2A	CAMK2D	CDC7	CDK1	CDK2	CDK4	CDK5	CDK7	CDK9	CHEK1	CHEK2	CHUK	CSNK1A1	CSNK1D	CSNK2A1	DAPK1	DYRK1A	DYRK2	EGFR	ERBB2	FER	FYN	GRK4	GSK3B	HCK	IKBKB	INSR	IRAK1	JAK2	LATS1	LCK	LYN	MAP2K1	MAP2K4	MAP3K5	MAP3K7	MAP3K8	MAPK1	MAPK11	MAPK14	MAPK7	MAPK8	MAPKAPK2	MARK2	MELK	MET	MTOR	NEK6	PAK1	PAK2	PAK4	PDGFRB	PDPK1	PIM1	PLK1	PLK3	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKCQ	PRKCZ	PRKD1	PRKG1	RET	ROCK1	RPS6KA1	RPS6KA3	RPS6KA5	RPS6KB1	SGK1	SRC	STK11	STK4	SYK	TBK1	TTK	ULK1	VRK1
ABL1	1	0.571358388383918	0.0287306029608799	0.3727694553559	-0.507456624435925	-0.594728830613329	0.4230382396207	-0.0347840423961741	0.0748694344414714	0.462349309738497	-0.399529486485888	0.0641018851352877	-0.589055484342855	0.440379989424427	-0.468187292577177	0.704127681196888	-0.553707096606075	-0.362196680955635	-0.659129082378462	0.0115137570424917	-0.685369060194605	-0.544576161345081	-0.0537033494822104	0.274317614713578	-0.76932836240322	-0.0209567049778185	0.0474028401514258	-0.43294073263052	0.686673998251722	-0.176660180484236	0.732401133700265	-0.743196576548472	0.668531910953236	-0.739422496209442	-0.615890202850596	0.263069459665871	0.217323223434871	-0.808521070085803	-0.353547728021356	-0.794233624578424	0.446582234275278	-0.14660113475752	-0.625978031176865	0.652801188092238	-0.628815344098211	0.319013698303833	-0.557070070064133	0.320656139043685	0.445520179596088	-0.765009614780896	0.533387273324709	-0.577126363512776	-0.30591488550891	-0.613886201343728	-0.134010034636265	0.556384571383142	0.0219276603556452	-0.475155730154193	0.25769946437436	-0.479259071329524	-0.168402928173883	-0.499955850344543	-0.167316557865502	0.543971327663422	-0.203516902478119	-0.267827761841912	0.433226344458885	0.75927125532333	0.695945155669837	-0.277043932750377	0.197918320010518	-0.364355507565891	0.667163457328428	-0.121271009570228	-0.460041094353952	-0.543872436773629	0.517889008072485	0.184315672112341	-0.0610657553997963	0.11805084060489	0.690468420970393	0.204189969390408	0.212152355911951	0.586272293756195	-0.759623962605313	-0.454292075201996	0.360512895387662	-0.797461335295019	-0.254094225201248	0.254546113718659	-0.218080499528204	0.471882428217039	0.38004763652476
ADRBK1	0.571358388383903	1	0.0149693634258438	-0.796561568838713	0.725615593941748	0.467017943016112	-0.503992620755561	0.63859598036204	0.108607642003526	-0.711831251476166	0.287119601932477	-0.624430493382453	0.820854103812321	-0.499996094215176	0.756107849541711	-0.80110049779868	0.670321027223689	0.381571736443201	0.830137652431758	0.567789205398743	0.899711286889132	0.710357844112429	0.500453074849438	-0.278993360447957	0.76813178453126	-0.232890307941787	-0.2494903470906	0.399611609750408	-0.679063739084162	0.667222045132427	-0.6404706998329	0.611295066981648	-0.794409855617466	0.904764230539356	0.672219240383877	0.122037996785562	-0.0762632064723335	0.775541114388558	0.644127852166523	0.473938948468829	-0.874853976649661	0.392356600444734	0.422967895480451	-0.759978239076655	0.387575528251573	-0.0941065523958445	0.659347888963096	-0.0774363360975307	-0.526189754301359	0.733471893703499	-0.143527091947055	0.587300039546213	-0.298797355096012	0.535897033139593	-0.370280968669976	-0.827207505118301	-0.122858950520246	0.740472283820091	-0.733470778783214	0.289637416915701	0.549943676611933	-0.0280811919396625	-0.0798047428804588	-0.622318905545511	0.142930600599063	0.615572497603798	-0.737489740514068	-0.560353910866234	-0.731468923747259	0.520650761589921	-0.228211001819782	0.605866448627276	-0.715768350986438	-0.280348126084572	0.903237361824884	0.839698685739105	-0.761507001795207	0.492780348960605	0.376440548573381	-0.229551447454477	-0.550421713294954	-0.358179648421338	-0.668131219843123	-0.780278214746174	0.598398984949089	0.477365757993397	-0.772914662299873	0.555029563078946	0.57250538639522	0.148128276048007	0.728870531079278	-0.738833263465889	-0.627781147826997
AKT1	0.028730602960886	0.0149693634258364	1	-0.0496214248128717	0.212424643394143	0.173009827777767	-0.0755909512222351	-0.208515926357516	-0.353186137275825	0.293229256120894	-0.142471397067744	-0.00395648619208017	0.0969887518146744	0.12802541055442	-0.310513524045846	-0.0367193246919314	0.105682451482419	-0.210456278583059	-0.0345211349587563	-0.211953667686387	-0.103016313365084	0.117274403725891	-0.114124387244711	-0.265780659252549	0.157158034902596	-0.00563053297450729	0.113411415102403	0.416155704567035	-0.118691470585923	-0.192983219301121	-0.294056989599519	0.240061162348685	-0.130836472778318	0.036023647394793	0.11255628302849	-0.488876783098774	-0.259793773829338	0.190858854643734	0.338402199361998	0.220185935279462	0.102916487460864	-0.132013115570787	0.10952745763082	-0.0767366477744543	0.309657152546135	-0.250860196095559	-0.310008672589401	0.0888365980353706	-0.0418260054773917	0.20728319464082	-0.471280067316677	-0.177285410954436	0.198674656576025	0.259389253353205	0.526789958890914	0.315079141307726	0.299681302504637	-0.23914701705843	0.204681984359218	-0.272291785209018	-0.32500010763648	0.339960113309767	-0.106484705004255	0.11504739270019	0.022689433491881	0.416867368624022	-0.17923734876749	-0.0418557576947557	-0.232817947042213	0.374514138624304	-0.107967848296224	-0.059215297912634	-0.0547504247837109	0.100671584106131	-0.129820947992454	0.0140962221227199	0.0386372332187629	-0.308753637616481	-0.00842180058904604	0.438453063079431	-0.0816837257625202	0.0247052982442898	0.0199612685772119	0.24426866903517	0.116846677310493	0.0181802746300317	0.0288798587506033	0.207130893202197	-0.0798236670988036	-0.259905829051461	-0.294467563013946	0.143507345666798	0.0930292390460407
ATM	0.372769455355879	-0.796561568838703	-0.0496214248128668	1	0.669283760225948	0.215734588346368	-0.40290373632104	0.686609999694607	-0.0437640919291497	-0.710194140173851	0.0458450524593075	-0.726270262565007	0.82396913873755	-0.416164898801656	0.600992044738242	-0.654330111731313	0.653603644543036	0.194629507741194	0.601030023148589	0.548697141159374	0.674423739627149	0.572478760200678	0.415734258795036	-0.297476768266424	0.641867105569035	-0.10506016229439	-0.104022704619242	0.23588286576185	-0.652803927878832	0.701900785778072	-0.604151967100725	0.45955962453185	-0.741598661346014	0.722586159810051	0.699921824604024	0.107818458856292	-0.0860085196774891	0.562400282815017	0.729753052618036	0.315475038751149	-0.801286353038219	0.502431267388201	0.381814692697745	-0.767057503292656	0.35069060301824	-0.000136727091330854	0.415318769681592	0.0420417105486172	-0.423551567665963	0.673682964433106	-0.0357443633256142	0.456391165771801	-0.395156584567167	0.482038697854184	-0.368185517900378	-0.647834349045793	-0.138677600597032	0.489917372106317	-0.704701690376202	0.162239460730978	0.543437537487119	-0.0494595381453211	-0.165242904534669	-0.5351854817703	0.191305250587492	0.632351099533363	-0.716409433945679	-0.409707584320485	-0.664214867756412	0.46523164056378	0.0216227789467004	0.635205562551052	-0.655495692117422	-0.276214405684097	0.811577052225479	0.655465111822272	-0.705105828043844	0.525799178768169	0.547282869465759	-0.186318169551279	-0.504428335664309	-0.16469045112439	-0.75468935333025	-0.622579837371687	0.543566592542265	0.504729407956097	-0.744162287133198	0.420899004095722	0.403116151101119	0.176175873127036	0.720549548976022	-0.6625748149889	-0.62180470072538
ATR	-0.50745662443591	0.725615593941744	0.212424643394136	0.669283760225953	1	-0.486922595778372	0.270972306743404	-0.454983203446124	0.0251303221706637	0.378009890715609	-0.065534449057871	0.42188806535592	-0.692903657792068	0.288667575558375	-0.441499425380009	0.658101951102036	-0.626249427333293	-0.12814694641252	-0.57138769779221	-0.342133759844914	-0.644819422138435	-0.620693269459197	-0.33767480138497	0.210836238080617	-0.661487142609507	0.307615193277528	0.27287574372341	-0.525604800349662	0.626530058591484	-0.497010332561396	0.708581357642268	-0.53344159064006	0.695538221073754	-0.713180993934172	-0.505230670116491	0.0376209225674177	0.0798349767806752	-0.610427486877758	-0.527627069957656	-0.508251953058214	0.568034122527546	-0.222264695833979	-0.439682549312107	0.663026863269825	-0.421530245183525	0.0515308482047481	-0.31664057567063	-0.0410279531322973	0.589996931006373	-0.695729025064078	0.238097745718972	-0.265696998042071	0.0943621824130705	-0.491980812962798	0.0178742133685005	0.571657853074228	0.186937295101224	-0.576025704829872	0.371157302135899	-0.103643256359261	-0.229564272940389	-0.183708957003978	0.00521537331576622	0.565125697350722	-0.119302783203662	-0.565162289959442	0.651767144793055	0.428226687842547	0.570764602091843	-0.597086147943233	0.103473710573734	-0.423231346821499	0.542491895083147	0.243072126375152	-0.626508205414014	-0.591290418790512	0.473971064966829	-0.192299166283814	-0.188892126073256	0.0546932020760318	0.483264907336393	0.129279817976098	0.554655940285741	0.559690998194808	-0.517272691487323	-0.359046698773287	0.621992771519876	-0.497806529946877	-0.353123076755862	-0.0327367510639994	-0.436317934291375	0.593967806604143	0.506213418898085
AURKA	-0.594728830613329	0.467017943016124	0.173009827777759	0.215734588346385	-0.486922595778382	1	0.22531747529683	-0.239091680037095	-0.206002135719829	0.0951266783902211	-0.164990344500022	0.0605036995246249	-0.416948720048079	0.17669840976099	-0.21075536490029	0.603960183639716	-0.683228910396301	0.0100551228987648	-0.497956596758043	0.0852743828633612	-0.482889471074586	-0.617155404934221	-0.431311235460578	-0.168555379637007	-0.492839975129318	0.362637751636928	0.409169571183338	-0.351386379576478	0.465530876875223	-0.103715029565826	0.499363163878587	-0.465630977525016	0.513310148264427	-0.544280012476982	-0.269457192686426	0.256245345177695	0.298258670974604	-0.561115960394415	-0.241903706956953	-0.583297986215437	0.385266502204596	-0.115160470799501	-0.508179378530947	0.528591968602277	-0.160909863349311	-0.112653702862801	-0.339831781483397	0.228544771958311	0.618063793249211	-0.512299987426159	0.380883258242867	-0.415575785095916	-0.331849654867541	-0.388835419057847	-0.228583789780977	0.58382816357436	0.0500055396266935	-0.535325815288905	0.219847960492255	-0.0823717677574531	0.0640565670406537	-0.191285308704226	-0.203071869859085	0.410183114604871	-0.239912031714332	-0.22442186159891	0.298361821740452	0.408696571897902	0.498112053372724	-0.348973241688938	-0.0364604482686909	-0.152521586852616	0.360284187358586	0.269077426391944	-0.326123384141849	-0.377260975009663	0.237296984433461	0.019448538680494	0.017936978137077	-0.142441482660933	0.412130800423574	0.205607677704343	0.182526048170084	0.519216580004137	-0.327306819320754	-0.00458840962134036	0.233118361255451	-0.38162374856564	0.0838926759071131	-0.14238425729341	-0.179252701605213	0.492072840596726	0.422575662420569
AURKB	0.423038239620701	-0.503992620755572	-0.0755909512222319	-0.402903736321056	0.270972306743416	0.225317475296829	1	0.11820249856407	-0.117858177168057	-0.440375954731066	0.333946827466366	-0.147035485960825	0.433135573255355	-0.606155223476117	0.355914511598158	-0.397211316148781	0.357067788639516	0.451272269703535	0.56375307066053	0.105716457026795	0.48990334397711	0.353047700144066	0.107400343622862	-0.248179743724359	0.465637354260253	0.163663029794734	0.121336405850623	0.0727166343372029	-0.51962721637544	0.465823011357697	-0.480246877671348	0.489942298720215	-0.336842633024891	0.518458026701826	0.463323391435171	-0.252815471558703	-0.0879732980589673	0.482972138932093	0.434146023263679	0.393129593079257	-0.462983805929379	0.287617633400579	0.35441442070038	-0.479338962110034	0.399887551469488	-0.298958817971347	0.426413432141943	-0.112154493271799	-0.238860163395215	0.42200274158268	-0.229652878751854	0.555495006871519	-0.0569934597888713	0.432611792705979	-0.0213507412673707	-0.369489768368201	0.217539385804206	0.403691478607556	-0.318802352077935	0.262653406502733	0.439823582083797	0.149857542731012	0.0201182273604916	-0.35744432214605	0.195689435472996	0.439798443317724	-0.301458615175601	-0.492927465467482	-0.483817407881953	0.136444954203607	-0.152793124135759	0.274811319047935	-0.338335352686142	0.0417471114681405	0.473958807283189	0.424330425227774	-0.480768787767492	0.137651505140706	0.297140865727714	-0.16228993460765	-0.446594244157528	-0.359316042403915	-0.182467684565089	-0.350827155385852	0.410458585270423	0.243789728749801	-0.323656440603749	0.481929157922748	0.232491257628728	-0.199032236794575	0.290678624913014	-0.250967382409796	-0.246210939006825
BMX	-0.0347840423961519	0.638595980362022	-0.208515926357521	0.686609999694597	-0.454983203446111	-0.239091680037076	0.118202498564052	1	-0.387610993722332	0.499775541337233	0.254606491394012	0.827101072356479	-0.578849750153475	0.175127784354815	-0.60730739041328	0.518439502485808	-0.597136219153193	-0.0174829771027281	-0.382803624891791	-0.723533152677456	-0.513482037341387	-0.436238173746206	-0.758765551037841	0.0423475060235109	-0.297316311639031	0.439713856193591	0.443444784189318	-0.144046069415855	0.275597809293267	-0.65745893918609	0.126495910246174	-0.0844215735386824	0.537877029223481	-0.407955470914586	-0.320840599450434	-0.415533141240638	-0.0670872621647074	-0.244961106499236	-0.439325725327693	0.134362802733635	0.756000199575518	-0.399471871203938	-0.0971673104124809	0.476644959693937	0.138652295178929	-0.247136659588205	-0.289251997490002	-0.0546494905834823	0.499246491697054	-0.291807605356323	-0.292674222867116	-0.240620354951048	0.535025008119811	-0.095560602531056	0.664813145734878	0.655902489150721	0.462526299439003	-0.590283886197849	0.80657399880893	0.120653845318032	-0.494071060721061	0.496030919816864	0.224136998277858	0.320254833065787	-0.0679415102213469	-0.431733921447354	0.568297555357554	-0.0190825402711534	0.302845442529405	-0.482687074157849	-0.0390982924434124	-0.575466086190805	0.358621031286968	0.580624948573744	-0.723880748599927	-0.641794783298708	0.555869028494383	-0.809833833458013	-0.399863970147164	0.0587632429108827	0.036877381602535	0.180824977258243	0.782502965000083	0.644137429897001	-0.045864909950615	-0.159868486342935	0.686095849555619	0.107478741464453	-0.391083704400303	-0.653226819771372	-0.830580524804835	0.719161698186095	0.640896706543764
BRAF	0.0748694344414733	0.108607642003517	-0.353186137275823	-0.0437640919291559	0.025130322170671	-0.206002135719823	-0.117858177168061	-0.387610993722323	1	0.053573629702856	0.113036853930806	0.262281962771892	0.0587602848248833	-0.156172544237828	-0.184617547344315	-0.0173379199484221	-0.147915098378651	0.169868371192743	-0.0861739672081626	-0.430978810782894	-0.072995886468238	0.224785542792149	-0.663309435725708	-0.53991572973998	0.220206094857104	0.579160025259324	0.372819507145678	0.117075051784726	-0.327908211843042	-0.0819110365830186	-0.361762530841021	0.410439459146738	-0.0955936423184295	0.154589537583842	0.236917725554198	-0.412616687943473	-0.229951617168714	0.093089135823871	0.245069886597027	0.339049358808112	0.296065072367356	-0.0193139495750588	0.233962245609751	-0.12730980189455	0.555322023277585	-0.524393952179604	-0.322957283640823	-0.00382278487687	0.347141895573874	0.289503877576252	-0.465364901589698	0.0251217524631296	0.167666510335993	0.38900329966868	0.430777987069592	0.380229665278472	0.0312472740248474	-0.292419664162177	0.363750086392978	0.244936934968539	-0.0929040471090365	0.685777659135683	-0.305400490116124	-0.103014094089141	-0.0479317190936862	0.339017872396409	-0.118611361675155	-0.338118365792646	-0.248641011393036	-0.0417591897750644	-0.0128296917621775	-0.225944415885898	-0.0483062248418892	0.621564633426628	-0.0562852073233206	-0.221986568195496	0.0374217392907952	-0.573547008221097	0.145793298353562	0.0956462557096332	-0.409525839527336	0.102429483460197	0.127067278103142	0.274873401696488	0.420399831974426	0.441392314185198	0.150465031335772	0.463508812365029	-0.133723210764297	-0.73130160881403	-0.395658107171222	0.330961082083836	0.221654562870981
BTK	0.462349309738487	-0.711831251476169	0.293229256120899	-0.710194140173864	0.378009890715616	0.0951266783902121	-0.440375954731059	0.49977554133725	0.0535736297028596	1	0.405548810797573	-0.560812719376023	0.643745297759271	-0.547252914052124	0.706581016404861	-0.6428289121136	0.540073020765014	0.508899051842849	0.563616128157412	0.476243784619352	0.72238021517665	0.424444927748129	0.246429031488596	-0.32444719058085	0.657332855758664	0.159729865009485	-0.142925713680519	0.0128792652141829	-0.535222515369238	0.639100049341329	-0.470004603939315	0.456682505665465	-0.622735184951182	0.707014208953997	0.748389513151857	0.364369904827513	-0.219223901082814	0.583352262423904	0.56761137121005	0.339922375239077	-0.739424375453637	0.694278763730748	0.411990465389575	-0.698296482579574	0.357347444377097	-0.172509689098285	0.737393011535448	-0.26602591253972	-0.380606603965197	0.575373859264651	0.00228028410073356	0.739057261326913	-0.138263958777278	0.489115904991815	-0.45299122279139	-0.711006011727305	-0.0659235292454762	0.500333381570227	-0.723845734501209	0.596852085341868	0.711021500835785	-0.0758429342478115	-0.150878827136909	-0.39400012208188	-0.0362635854129218	0.34299837189341	-0.452182344903411	-0.587868056779879	-0.673914426998767	0.166890272600759	-0.186754378383753	0.67852221673786	-0.727836486886271	0.0474780256530385	0.739087205045598	0.636293871220526	-0.689284780830464	0.477412488799787	0.550762485367309	-0.375934200118243	-0.517700071577461	-0.385746184542627	-0.619734181927398	-0.663311755370379	0.643550801967298	0.515994128861388	-0.649215954905099	0.462477803846665	0.561474838557421	0.0858509725245295	0.735492931744047	-0.661418119686457	-0.521921989115463
