ABL1	AKT1	ATM	ATR	AURKA	AURKB	BRAF	CAMK1	CAMK2A	CAMK2D	CDC7	CDK1	CDK2	CDK4	CDK5	CDK7	CDK9	CHEK1	CHEK2	CHUK	CSNK1A1	CSNK1D	CSNK2A1	DAPK1	DYRK1A	DYRK2	EGFR	FYN	GSK3B	IKBKB	INSR	IRAK1	JAK2	LATS1	LCK	LYN	MAP2K1	MAP2K4	MAP3K5	MAP3K7	MAP3K8	MAPK1	MAPK11	MAPK14	MAPK7	MAPK8	MAPKAPK2	MARK2	MTOR	NEK6	PAK1	PAK2	PAK4	PDPK1	PIM1	PLK1	PLK3	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKCQ	PRKCZ	PRKD1	PRKG1	RET	ROCK1	RPS6KA1	RPS6KA3	RPS6KA5	RPS6KB1	SGK1	SRC	STK11	SYK	TBK1	TTK	ULK1	VRK1
ABL1	1	-0.0445598813989952	-0.0029280856276018	-0.0179749614263621	-0.125585062634421	-0.00585309402302692	-0.102522138553885	0.146758574485666	0.0297863540446761	-0.0809726697111673	-0.104373899048046	0.0764734397431232	-0.0561095337447515	-0.0397554913086204	-0.0255593444549069	0.111444516620581	-0.0653151225312677	-0.0802492307561031	-0.0382882041868012	0.0254232768648265	0.080524939435189	0.159630067976154	-0.0516030649873165	-0.0916923960278555	0.00650759290838593	0.0917073886536505	0.114731614769132	0.012964256685777	0.039713348264084	0.12861241631972	0.136589853858027	0.0622919793001726	-0.0341916143364344	-0.00169753213372282	0.15303123259965	0.134244905750137	-0.00139790881190221	-0.0294461957725612	0.0703212054959161	-0.119585454010185	-0.147042526851808	0.106885678137365	0.0674761122552511	-0.0781406448832226	0.169903903927256	-0.0331399118235567	-0.0534624942180733	-0.0711618937788258	0.219313739010807	-0.0668638159389405	0.00447239076419993	0.0982158004896426	-0.0304754372672719	-0.0162675713459269	0.0596136116687504	0.0848037960529621	-0.0481513078693829	0.100047988229006	-0.200528916857807	-0.0209113614106151	0.0677189258859386	0.0220966479569377	-0.084947521691226	0.0266650615094439	0.036907317429487	-0.00490237527067625	0.0278334562584197	0.130880692162242	0.0612301081312253	0.0124949953465645	0.0124859465948894	0.0066007380434796	0.0193583810006139	0.0174348196559765	-0.014154427656939	0.194236961473331	0.13546818657522	0.0168795038287685	-0.079848539957319	-0.128119756673934	-0.00694098773757204	0.136633861552664
AKT1	-0.0445598813989951	1	0.0266652892583556	0.0139377379532744	-0.0510943895216104	-0.0193407369604954	0.113977236728263	0.0467326009726734	-0.0130145222988483	-0.0603590831408015	-0.0502968026856078	-0.105890590361554	0.0122091070242097	-0.00561616086408069	-0.0603655371902827	0.030654972398425	0.0302467731090953	0.0958746634114429	-0.037668859668744	-0.025413656547714	0.0408376389031546	0.0470486215360389	-0.112321047355743	0.0461575439484785	0.01338206167908	0.170498280244916	-0.0459150780532638	0.0735157427832546	0.0914319380444399	-0.236048099662802	0.0314153813885643	-0.0357272395353764	-0.125940651864054	-0.0169774357013577	0.107090347751974	-0.0180053363810001	0.0697216511774817	0.0132573228189122	0.0797613309173593	0.0349572681686239	-0.0539369815672335	-0.0548978355998473	-0.0248023262184725	-0.00646160947261738	-0.0544843015423794	0.131518118143245	0.107401572099858	0.0607779090851638	-0.153156659598038	0.00826650293445881	-0.0660655174028049	0.133486814296887	-0.122285625661252	0.0621544577473992	-0.00235356105823336	0.0358976102813148	-0.0119421956133887	0.107949006391461	0.0174376683959468	0.1982448808035	-0.0335875700740839	0.146648318540438	-0.0692479977991044	0.11356340222625	-0.0653149945554663	0.0189115386589902	0.0943330830881163	0.103530319421	-0.0147976725036184	-0.0227368621225934	0.167304604557364	0.0304674992360398	-0.0153694175827336	0.197802017370418	0.118117780621162	0.0115760412603286	-0.00589065842842717	0.14599445637868	0.0923490788746897	-0.140434505089299	-0.0246748443411954	0.0545710562644999
ATM	-0.0029280856276018	0.0266652892583556	1	0.313972936583306	-0.0153245523229038	0.0441749387453722	-0.0509848919785095	0.0199172980733864	-0.0387744697290038	0.094293267984084	0.022994678468345	-0.0625095574587018	0.132066087432241	0.103361561819022	-0.0197425208868263	0.071316971112753	0.151309406488619	0.051124960932991	0.08992666370104	0.121448347062742	-0.0246222693305299	-0.163568643866726	-0.0616740587963718	0.0822013849587142	0.0131756655977068	-0.0383721147221438	0.075725540793573	-0.032496305655673	-0.0765426820769378	0.0832760929348851	-0.098739700688207	-0.00379003951852135	0.0774921591407283	-0.0298481769089667	0.100691638154013	-0.135214427744319	-0.0411996736564653	-0.0101294649653668	0.00131661828474477	-0.00434560471856988	0.133542601729933	-0.0621254985738447	0.0059040599117969	-0.0145791306103699	0.0797632585141147	-0.00942041717200592	-0.00244686431205234	-0.00677972910116095	0.00443874897947853	-0.0438601138220994	-0.161302679801172	0.0528467013795434	0.0660313555569562	-0.0379531515158791	-0.0200843154054277	-0.113718260075008	0.0243014989036479	-0.00521674965757661	-0.0938061334122764	-0.0260061909697351	-0.0240989390936357	-0.0700060562332024	0.0205914022363836	-0.13264727728647	-0.0784620956420945	-0.120882327548143	-0.0457584244962	0.127730177987134	0.0694237004491032	0.00280946432187145	0.0480489199243322	-0.120486869343298	-0.0539399955832223	-0.130419608178638	-0.033291988754034	0.0045484479455823	-0.0694290167682121	0.123133047740123	-0.0406063576905739	0.0363692064766726	0.0520791948679233	0.00327593393479198
ATR	-0.0179749614263621	0.0139377379532743	0.313972936583306	1	0.0343964111995258	0.0266180914162768	-0.0166291924339038	-0.0635298525288986	0.0563315865958673	-0.151811533364148	0.126327538070535	0.120524810594743	-0.0396948706184786	-0.0575575603374707	-0.136740311091665	-0.0985012195435367	-0.10404042962957	0.065197269658899	0.0645857484049865	-0.0365102432953815	-0.0131666637687402	0.0737731232703269	0.0475877583461481	0.0271622501844102	0.0985712991191414	0.0898160705804244	-0.0400268691929449	-0.0398852930082025	-0.0376582400179325	-0.110847398586112	-0.0262632964821519	-0.113572427244852	-0.0189024637597799	0.0383322466354026	0.0266775417380574	0.158681132462674	-0.0483766429478682	0.00552434305808535	-0.11284671295811	0.0472787005203798	0.0598219767287572	0.0850174162394357	-0.041108275793066	0.114715805456119	-0.0187044863211736	0.0976038598460359	-0.0978657013023891	0.0166013900036533	0.00385252874916541	0.0133382595176782	-0.0202468609048835	0.0884321940940289	0.0991463686309244	-0.0440536911381728	-0.0232443413938507	-0.089665071185062	0.0301566722674084	0.0260393992900685	0.0908537928574347	-0.0457923990171146	0.0249953749323673	0.0119228784537755	-0.0211863718555464	-0.0143435248990605	0.0222907231718897	-0.00158885819006535	0.135806464826801	-0.120733510110661	0.0326520340125793	0.0819850817874509	-0.0588098636216497	0.0549706414699222	0.0260863467188382	0.148384219395935	0.0423687816400377	-0.135276271990782	-0.0431557246314374	-0.168392230169163	0.0789839793633998	0.00573882828253415	-0.0035704184814305	0.0130931984252795
AURKA	-0.125585062634421	-0.0510943895216104	-0.0153245523229038	0.0343964111995259	1	0.0360818489140027	0.0687213374379084	-0.00360638882416612	0.124493180418604	-0.0958581866124929	-0.00228119856069702	0.0479987637848214	0.00917028845398836	0.00406675011235849	0.0256430940052849	0.0415077736145487	-0.0209001154999812	0.129092535401192	-0.0269837427823239	0.0211636890157153	-0.035631697263696	0.076835087047768	-0.0173785641190076	0.0308645641363791	0.059439164729901	0.0932326085165232	0.0889521193585684	0.0842636385833295	-0.0596568806737719	0.0857095746651346	-0.108903509923381	0.0122267419785163	-0.0315674240911821	-0.0530832683406143	0.0340321898774091	0.0112066019486714	-0.0557854110674091	0.0208869944991876	0.0127876607036515	-0.0933312466092623	0.0425630545400745	-0.00916783169379567	-0.0568633619132739	0.0236532449733096	-0.0386763357215816	-0.00785797476844422	0.0106688449274782	-0.0583329833342725	-0.0432000608172397	-0.0548698726356053	-0.0817057565243222	-0.00663735869277904	0.0337550262627393	-0.0446010122287226	0.0744827666556177	-0.048950527365964	-0.11242936604283	0.106233720689122	0.00350197613295384	0.0402129851822223	0.106315128579215	-0.00725425832435019	-0.0828027908017188	0.034399845640705	-0.0629873809354803	-0.073540942110186	-0.0177414713561288	-0.0132889132146961	0.0689325982069178	0.00721103392380189	0.0454748299409133	0.193764332913043	0.0489819036473773	-0.0433989848340941	-0.0852361390356847	0.177699227722644	0.0515822382991322	-0.0263700272350749	-0.0561954534617909	-0.128319626294935	-0.0379683953452497	0.068602058848354
AURKB	-0.00585309402302697	-0.0193407369604953	0.0441749387453722	0.0266180914162768	0.0360818489140028	1	-0.0110863284157561	-0.0957926631879298	0.112298248348651	0.0532034821947739	-0.0950978951428214	0.0693029811366378	0.0191715717863768	0.0883385503654796	0.0465497580174096	0.0516189330587499	-0.0683482476710252	0.0669076034176469	0.0521294268192687	0.0538397827135931	0.0579765004643517	0.0497785993702694	-0.116348466412183	0.0611676698284182	0.0139436299224504	-0.0567912862834469	0.0565512020147502	0.0991587341079907	0.0907547641880475	0.0233098541082576	-0.0207592934837719	0.089287916883775	-0.0423239787991771	-0.106987033638885	-0.000742918138829787	0.135682706385605	-0.0654311125684786	0.142611123842674	0.0134014837888162	0.111137173215311	0.0742214211555161	-0.00684428064893279	0.0733921970447401	-0.205711621044839	0.131973942664981	0.060475607752843	0.0867677544820353	0.0686546706549603	-0.0684018894162279	-0.051820605782533	0.0448651705135348	0.102272404749269	-0.0715611394334335	0.0207580781616748	0.00911568494933577	0.128750096534562	-0.0342463666483706	-0.106309110301059	0.197565428091025	-0.0307941183158854	0.050241287812695	-0.117703944675181	0.0385652859670486	0.0452389119085954	0.167576878750349	0.0901565267695196	-0.0168028369980286	-0.00384620428220695	0.0229497047414042	-0.130446877391321	-0.0100875782099324	0.019491130841935	0.00822154646484817	0.097118237398005	-0.0140345928957328	-0.0772998182885343	0.0157752187570795	-0.0299753890639293	-0.0678726056496816	-0.00346459583232801	-0.0486772541055661	0.0196603630396807
BRAF	-0.102522138553885	0.113977236728263	-0.0509848919785095	-0.0166291924339039	0.0687213374379084	-0.0110863284157562	1	0.0642088668223382	-0.0153099630227396	0.0526611578378504	0.0974215063480734	-0.0707189503759174	0.033933342155422	-0.0380986163316028	-0.0443447064954912	-0.090486206395397	0.0685715865506428	-0.0711087558170229	0.0807334309560069	-0.182996278511658	-0.136460709444378	0.0612495964511243	0.0682158456517824	0.0346135693260534	0.000358654562466387	0.00602191008498901	0.124297165404555	-0.134143946384196	0.020041717879212	0.0428394794733526	0.00365139938192258	0.115507857106954	0.0530581330607584	0.082055086841614	-0.0520563130729294	0.0855913453727186	-0.034854715890825	-0.00239297664408756	-0.0932569827215592	-0.0507605890733717	0.22206054730076	-0.107091786966274	0.0575391615325578	-0.0496433976283709	0.0230267077438334	0.0398363046170491	0.0669186263835985	-0.179618811197971	0.0873560113321599	-0.0987035797396745	0.149113550142338	0.003113290114445	-0.035089507416953	0.0948291831886354	0.0792768707875447	-0.0352579626207712	0.0819644162449808	-0.028921414949063	-0.083606282018365	-0.103316738206048	0.192296661725565	-0.179826197597527	0.238801874192295	0.2082697560391	0.0907018727337544	-0.101427103384813	0.0503369595627623	0.0768026619341387	-0.00700702237488029	-0.0447655682234857	0.00461127155192452	-0.0813535601210009	-0.186361094787529	0.0693489045345717	-0.0371054222109599	0.0257905923842095	0.00549817283958918	0.00945118444297367	-0.0444243278059226	-0.0623482738891023	0.0352255858015287	-0.0912292999306859
CAMK1	0.146758574485666	0.0467326009726735	0.0199172980733864	-0.0635298525288986	-0.00360638882416615	-0.0957926631879299	0.0642088668223382	1	0.0310753020656858	0.10649892865372	0.112689727427703	-0.023891236510777	-0.0932733176509054	0.0631632482865831	-0.0281488795616335	-0.0856556766463675	-0.0866886295067005	0.043689018587387	-0.0376468317354115	0.106547301257054	-0.00822044611340767	-0.143618224499304	0.00675178141225993	0.19968234823008	0.0717345837256595	-0.0881927425063623	-0.0498439114814043	-0.0389105298033831	-0.0703459317241196	0.0387251028008783	-0.093623037790736	-0.0676660934419076	-0.0436367143371968	0.0567161202482538	-0.0223498998434697	-0.0626839813833383	-0.025128425072013	0.142695690021477	-0.0238832845756232	0.0144914758337804	0.00212402975907028	0.0515551261632271	0.0245505560629099	0.0521214317653409	-0.0601466404803767	0.00898652429822196	-0.00777576060247205	-0.0019752019882784	0.0394925385323092	0.21948405907148	-0.0216236529355682	-0.0505566841875165	0.0957109386530656	0.0191783349415467	-0.12030557192797	-0.0562074446038301	0.0224662681486693	0.120711635210428	0.0834010215441856	0.0650982698851265	0.0794665328847606	0.0986941802932021	-0.0170329234400317	-0.0379696735675719	-0.0435946056047576	0.107337292550896	-0.00468928948903366	0.0205346692325428	0.0719253832743033	0.0974322493751727	0.0748805867218949	-0.026979365525169	-0.0448346662089491	-0.077605022395712	-0.00285539604707146	-0.0747074941514953	0.0207753460958887	0.0284005749778727	0.105980992039206	0.0158662590042157	-0.110083438271863	-0.0464854682027312
CAMK2A	0.0297863540446763	-0.0130145222988483	-0.0387744697290039	0.0563315865958673	0.124493180418604	0.112298248348651	-0.0153099630227396	0.0310753020656858	1	-0.0124638042021192	0.0442026115537373	-0.0790177154984843	0.0538188767313253	-0.020358613912381	0.0673086414418374	-0.0179514555975383	0.0898835632046435	-0.166080694622306	-0.0599377443824762	0.0760542837355658	-0.0722761762054705	-0.030344851323261	0.152702807035587	-0.0298936114164555	-0.0913714464258503	0.0378750505851984	-0.0317063917820549	-0.0344746182170078	-0.0485144625436024	-0.0874377212762679	0.0853625263418051	0.00495883464922469	0.00711699503817616	0.0916926307337954	-0.0344766485223883	-0.00601235594380392	0.00592904701697839	-0.107561276073076	0.049595747441972	0.0237797127289377	-0.209023411279519	-0.059107279764274	-0.12474918155084	0.0534309409130687	-0.0751861896579337	0.00942310809409528	0.122806475338602	0.016759101985387	0.101735748224229	0.0470431295081286	0.0684207760585899	0.0202667317884789	-0.055738398811679	0.105873626167124	0.00902145698656854	-0.00679432393787117	0.0729334215543873	0.0441105219788363	-0.0659163819822594	0.116240833119872	0.021317555615932	0.181683987934784	-0.0524943586576753	-0.0272723581702521	-0.0545557859075682	0.0797739975642496	0.147288262059597	0.118650599462993	0.0189711763300844	-0.0206977172811657	-0.121537603195098	-0.0106368322988309	0.0280093733550892	-0.0347400578351534	0.0235029544135568	0.0504430505663304	-0.0305264284963697	0.0660976903715212	0.0252504803571903	-0.0380495194192089	-0.0642063170922085	-0.0450169293949525
CAMK2D	-0.0809726697111671	-0.0603590831408015	0.094293267984084	-0.151811533364147	-0.0958581866124929	0.053203482194774	0.0526611578378504	0.10649892865372	-0.0124638042021192	1	0.0667217695607214	-0.0106234729309029	-0.0151937533732894	-0.0960953871499707	0.0542548372896666	0.00122282147280342	0.0151112534614752	0.109244096842661	-0.0295403016087554	-0.0506588572265253	0.0165555672391584	0.0418026132648675	-0.050104159130778	-0.0736688940876889	0.0660555793217436	0.00940152402012711	-0.0345047405659385	-0.0076170976915957	0.0193580868323189	-0.208071019158369	0.0531212205939851	-0.0121190720474724	-0.0647484874344463	-0.0273682980112667	-0.000131959593597323	0.12345940313263	0.0534896437218768	0.00343783704302427	-0.0571477791508355	-0.0233877787839223	-0.00785241934075955	0.0746061615353178	-0.0536308560867142	0.0130767236713426	-0.0307312323568485	-0.144305587608768	0.106784453721481	0.116718697332151	0.111183493926081	-0.036975386989134	-0.037406488595586	0.199046513698845	0.12960824616406	0.0233764741778349	-0.0711028652554472	-0.00288039414710871	0.0647961221141992	0.239386300083632	-0.0551019322634859	-0.130845319620064	0.0314720298286034	0.0599613672052294	-0.115328275731708	-0.00564716106208395	-0.00139959049085979	-0.0158882976603997	0.136643816969154	-0.0350174247818929	0.0381676257225609	-0.0114442844163969	0.0734771418438849	0.0454680567762394	0.0863794920106001	-0.068611323492394	-0.0472087511481662	0.0950085289240157	-0.0667675164217093	-0.0338467534728872	0.0657456256043992	-0.104520508006482	0.0625277866546561	0.101784073687089
