AKT1	ATR	AURKB	BRAF	CAMK2A	CDK1	CDK2	CDK4	CDK5	CDK7	CHEK1	CHEK2	CSNK2A1	DYRK1A	DYRK2	GSK3B	LYN	MAPK1	MAPK14	MAPK8	MAPKAPK2	MARK2	MTOR	PAK1	PAK2	PLK1	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKD1	PRKG1	ROCK1	RPS6KA1	RPS6KA3	RPS6KB1	SGK1	SRC
AKT1	0	0.586902178499231	0.636989800767662	0.490739261957921	0.129770536960663	0.0613359274848509	0.189613707812357	0.4383467890663	0.0536030592200237	0.820353312417486	0.000750379932151549	0.480260544279685	0.182856210974312	0.19328837922981	0.229665789812122	0.997284631858244	0.0284758859971281	0.552379735311007	0.318053055074623	0.936852300833213	0.233724432405185	0.337917444071221	0.786149603922233	0.574892391763311	0.141076659366476	0.00396686889484148	0.0155761959578435	0.000346131661831016	1.41629316747072e-05	0.472040038756466	0.580252725059975	0.257711389567924	0.843010278289408	0.757222704857841	0.457669148262918	0.581577009542725	3.55410665204605e-06	0.127638472083472	0.0522053768164085	0.0781595853945392	0.29749308570527
ATR	0.586902178499231	0	0.938969172949319	0.62626848916157	0.945713233674694	0.206369173090086	0.260801586770058	0.0203312529979559	0.584012135939652	0.724069542224291	0.302856302204307	0.590688534576998	0.405198604117595	0.73484265928084	0.442978311855953	0.495035215216715	0.0529394552979818	0.876964853223478	0.639596521070318	0.663098167125026	0.149219728335259	0.864693305241207	0.432526699988723	0.0259188740914675	0.116024773922369	0.443381070849609	0.0846821793029043	0.339893844601725	0.196978254062482	0.88864238067251	0.438248696452016	0.582568194682504	0.967370507557301	0.155080449614934	0.0380256290857406	0.0199207304340357	0.837425330066675	0.747416341724995	0.656790912640418	0.951942641685062	0.0927754478672184
AURKB	0.636989800767662	0.938969172949319	0	0.287405871678192	0.974806089596157	0.388022503384274	0.273201691948245	0.0182334023517902	0.422374886988115	0.991379613900854	4.25311992400622e-08	0.422651975113237	0.0953202937548719	0.531259675421605	0.212396342822359	0.17000487290962	0.0177262067096672	0.00620483648843536	0.727080781335663	0.225831848238931	0.033768430016472	0.364242964500662	0.303993271070956	0.0505669688627302	0.498567073454258	0.639142038071043	0.951686711201126	0.314317562618816	0.206296452059716	0.271885315661352	0.629375890015275	0.719454363319913	0.502722215275715	0.543119960279569	0.0802131807961791	0.959439346579189	0.676197810706313	0.539395287600524	0.199792181786118	0.315577961551894	0.594157165557586
BRAF	0.490739261957922	0.626268489161571	0.287405871678192	0	0.422640845480812	0.0808991031770957	0.534451174994864	0.169522189147842	0.66885652299162	0.524157136550357	0.2672893667463	0.526743930913311	0.806998570205668	0.356738622680835	0.989630165218	0.352050499244877	0.322085939176913	0.24750498538464	0.801262839689012	0.969487808117242	0.0464468056025224	0.00543884810985298	0.323103506930332	6.96353197182082e-07	0.413832199368252	0.168548243096079	0.927150303572887	0.108569026636045	0.0568137761535631	0.297027330403046	0.0154943221744399	1.14687395662127e-11	5.03744596995344e-20	0.000633570055280467	0.517811547912618	0.924122020598513	0.296572623865557	0.151153565696522	0.337363619759797	0.761375146315539	0.50219685789736
CAMK2A	0.129770536960663	0.945713233674694	0.974806089596158	0.422640845480812	0	0.924328766747319	0.275517586744771	0.493364496293022	0.433005566254452	0.0365198197824868	0.670413268170723	0.104641018883436	0.019956549814017	0.0699398776756099	0.794683827153932	0.232927165332196	0.0690049838701273	0.319723121032053	0.953296473540336	0.735517595033727	0.838163950317605	0.0872937138488468	0.631293211589311	0.0614721707766851	0.00376536799710022	0.426798860455622	0.0145322664234625	0.994114112203961	0.281028221800073	0.0231758089488051	0.119097127728125	0.561915625641273	0.257531623523194	0.0136823209209358	0.0347947941930109	0.224853224039376	0.0430663057992925	0.830964057835516	0.798891796570449	0.892919576733355	0.363909502606325
CDK1	0.0613359274848512	0.206369173090086	0.388022503384274	0.0808991031770958	0.924328766747319	0	7.7722624790287e-58	0.0988390688565583	0.0964084927140043	0.393950523487008	0.225985435363461	0.959573306828208	0.292970678276846	0.145069728467134	0.466102268534008	0.110963797110814	0.507757285916382	0.000123228047890946	0.451406755524349	0.712300994437018	0.984976726071892	0.0459609644512121	0.21050295147937	0.794529846280344	0.509983588669332	0.0758126500423758	0.113501968447866	0.564457550868146	0.177455490679949	0.00649305471982091	0.912107752171448	0.720905189472733	0.26353625083065	0.800663527725254	0.410552827651832	0.085529178471633	0.415513218438479	0.514041299451449	0.468285891937009	0.110566325966533	0.234470126692698
CDK2	0.189613707812357	0.260801586770058	0.273201691948245	0.534451174994864	0.275517586744771	7.77226247902959e-58	0	0.0128933154696342	0.0418612873847583	0.0117577700815494	0.98400492245843	0.560537270251328	0.400104286691973	0.256731796083524	0.232489196843822	0.41333983838981	0.40833349031848	0.302797026865877	0.58040569118298	0.834824106308647	0.770471474782863	0.193907513649999	0.0187691833439957	0.609928525743014	0.414491912714324	0.357810259210436	0.370561138518167	0.216233803933193	0.298978012605922	0.445827240694644	0.678617400114887	0.326510190741857	0.892347639017517	0.60949534452943	0.0260530841888785	0.917006359817896	0.959316294660125	0.36850084540597	0.68740221709511	0.812920813994711	0.116724720599209
CDK4	0.4383467890663	0.0203312529979559	0.0182334023517902	0.169522189147842	0.493364496293022	0.0988390688565579	0.0128933154696342	0	0.14225666794462	0.751272059867247	0.27653158835039	0.192412323787373	0.575347990619913	0.0380620333034838	0.00264848230358532	0.0599265475378543	0.337538270797302	0.0996190980670451	0.388284380034853	0.943366368540387	0.271985019895404	0.022580624096439	0.826411186361126	0.110216464548901	0.748736034695032	0.042936489735333	0.478107811807174	0.234282207958409	0.195369938560295	0.103149657713913	0.249604874480056	0.311392241419398	0.269079471841497	0.993242788083676	0.22860539351525	0.360786249957647	0.212109915593727	0.399817342178705	0.412327106899549	0.796036434489122	0.971636291592056
CDK5	0.0536030592200237	0.584012135939652	0.422374886988115	0.66885652299162	0.433005566254452	0.0964084927140045	0.0418612873847583	0.14225666794462	0	0.866704773518141	0.987819474676233	0.777610686309417	0.377759009180525	0.710898612449481	0.0977801133817678	0.313593063374877	0.291609540409948	0.183517782276582	0.0839537303986307	0.749664849156415	0.423631150512894	0.069718906725753	0.0807649307039351	0.0711416798996865	0.36731702412917	0.8642996714654	0.175394881383854	0.13322723615271	0.619099963986078	0.287303244887133	0.494787680736227	0.798171353545024	0.313421954971957	0.277671722008399	0.838956534126997	0.622040080778265	0.988528095786351	0.806037116155198	0.73259797291849	0.882807076914737	0.181392814215423
CDK7	0.820353312417486	0.724069542224291	0.991379613900855	0.524157136550357	0.0365198197824869	0.393950523487008	0.0117577700815494	0.751272059867247	0.86670477351814	0	0.901666444622534	0.102137809506344	0.00114384426586219	0.000109313354531142	0.142493215562323	0.00457048209097057	0.912558134318181	0.0333045079773782	0.423282256078798	0.00566071503172351	0.0487576987119047	0.347541655953792	0.545274794182853	0.881106958269705	0.272777328043704	0.0929367421987382	0.0623933553294534	0.510181524721183	0.621571854846322	0.152115819485907	0.683498057161246	0.370520270486629	0.465945318795154	0.993292729741228	0.282569128237425	0.936329250118668	0.256239692101095	0.480802030376873	0.109024878060255	0.655978408563558	0.154139502886203
CHEK1	0.00075037993215155	0.302856302204307	4.25311992400629e-08	0.267289366746301	0.670413268170723	0.225985435363461	0.98400492245843	0.27653158835039	0.987819474676233	0.901666444622535	0	2.00805704331331e-10	0.432421230072705	0.00217648037002439	0.0906190831120264	0.406855906361141	0.942562382782632	0.000177996794560599	0.798345768252256	0.10769309930304	0.10801517291546	0.71380843276043	0.281725061070512	0.98859135471704	0.610273936879562	0.00098025338634132	0.460024694789539	0.56412003942021	0.753620651282552	0.156536627987263	0.660001052571923	0.634140660608511	0.37749777602736	0.570386701922591	0.772333382459687	0.688956182130292	0.884083857098988	0.174445916935529	0.420907825761448	0.535659446031116	0.63886487914416
