ABL1	ADRBK1	AKT1	ATM	ATR	AURKA	AURKB	BMX	BRAF	BTK	CAMK1	CAMK2A	CAMK2D	CDC7	CDK1	CDK2	CDK4	CDK5	CDK7	CDK9	CHEK1	CHEK2	CHUK	CSNK1A1	CSNK1D	CSNK2A1	DAPK1	DYRK1A	DYRK2	EGFR	ERBB2	FER	FYN	GRK4	GSK3B	HCK	IKBKB	INSR	IRAK1	JAK2	LATS1	LCK	LYN	MAP2K1	MAP2K4	MAP3K5	MAP3K7	MAP3K8	MAPK1	MAPK11	MAPK14	MAPK7	MAPK8	MAPKAPK2	MARK2	MELK	MET	MTOR	NEK6	PAK1	PAK2	PAK4	PDGFRB	PDPK1	PIM1	PLK1	PLK3	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKCQ	PRKCZ	PRKD1	PRKG1	RET	ROCK1	RPS6KA1	RPS6KA3	RPS6KA5	RPS6KB1	SGK1	SRC	STK11	STK4	SYK	TBK1	TTK	ULK1	VRK1
ABL1	0	0.180267845107334	0.951245541493449	0.41020296362566	0.245009401135237	0.158992859616839	0.344326595846024	0.940984493021805	0.873253632439824	0.296221963949457	0.374549080538876	0.891400701197341	0.164036217450444	0.322721085819387	0.289348279571137	0.0773862066214406	0.197202411496623	0.424641496639781	0.107310049695048	0.980454934538263	0.089235490882305	0.20625051020406	0.908961774330543	0.551626212875141	0.043156678108218	0.964430604606092	0.919616821922279	0.331916307388498	0.0883822272969659	0.704750254422255	0.0612191418452546	0.055582205159734	0.100632661228882	0.0575192736204811	0.140875301773651	0.568691261537931	0.639710952533304	0.0277133222035507	0.43659592923425	0.0329046479233835	0.315139984154261	0.753787967583605	0.132627023932915	0.111929471339402	0.130352628121615	0.48555753253867	0.193919183224683	0.483185944019895	0.316432618269352	0.0450917009663933	0.217602122234873	0.174894782341155	0.504618534144315	0.142543857398247	0.774534807926299	0.19458626753551	0.962783396407708	0.281237656523772	0.576896379011928	0.276510042551115	0.718146857292628	0.253218679211126	0.719913739144349	0.206856726090799	0.661609475444226	0.561451909463759	0.331561239904197	0.0477352048691524	0.0824447569969498	0.547515349849022	0.670545347115296	0.421677560562063	0.10159055954623	0.795634468881331	0.298959339955854	0.206955923876234	0.233800173022945	0.692383830728453	0.896524736885423	0.800984196914697	0.0859257563633431	0.660537321778734	0.647889132797898	0.166538903684471	0.0475703346127399	0.305825352738659	0.426958795046624	0.0316882354243856	0.582425586755067	0.581731647663485	0.638515663400565	0.285034668709967	0.400377790929528
ADRBK1	0.180267845107348	0	0.974590066544571	0.0320247565365528	0.0649137079616279	0.290719349884372	0.248785109295945	0.122666296137237	0.816707440466481	0.0727795590344843	0.532410954459043	0.133875970725445	0.0236301071384656	0.253174301861209	0.0492279156509703	0.030347375862068	0.099387457482205	0.398332292545816	0.0207963709064049	0.183632478880453	0.00579219097827399	0.0736489523861408	0.2526706349834	0.544582089984115	0.0436881263698905	0.615267264568865	0.589509988892476	0.374441681540207	0.0934193355972451	0.101549451772191	0.121220313499985	0.144715957967346	0.0328375723609403	0.00510421637884256	0.0980751896167383	0.794361189597461	0.870907730112057	0.0404548999159398	0.118424876437634	0.282646458391879	0.00993667715513357	0.383977925034589	0.344415443464634	0.0474050459492205	0.390315312261463	0.840946235841212	0.107152125646316	0.868933780622984	0.225056583060514	0.0606468246859604	0.758842759482774	0.165612555175181	0.515083089516361	0.215030708400995	0.413583778048932	0.021668707978769	0.792998722381311	0.0569768403408466	0.0606474190924639	0.528658537256882	0.200908075841754	0.952346681723652	0.864950272876903	0.135589731740777	0.75982439440404	0.141139165321804	0.0585252513178217	0.190738924225271	0.0617197755691446	0.230873745308068	0.622586208557002	0.149320269293679	0.0704835671837665	0.542546656702118	0.00530677703274897	0.018090238926294	0.0466954177272484	0.261188088272384	0.405235415989664	0.620487052422522	0.200435535778546	0.430177932072921	0.100912648521535	0.0384595360190835	0.15577198174034	0.278686931430018	0.0415853160485745	0.195908130932255	0.179193035924554	0.751279403863848	0.0631268686270382	0.0578249588918264	0.13117932184027
AKT1	0.951245541493439	0.974590066544584	0	0.915863725979367	0.647457776359853	0.710665318767463	0.872039131367097	0.653657412172207	0.437098475859602	0.523320960781061	0.760580271959833	0.993283313000462	0.836120118522736	0.78443410326939	0.497897242423978	0.937705354362607	0.821588124563138	0.650577808617866	0.941430014864428	0.648203943078658	0.826040571956508	0.802275038905344	0.807515648676309	0.564562783508072	0.736482787629306	0.990441461863607	0.808702604754305	0.353065096716305	0.799919407525707	0.678447947737206	0.522093529089329	0.604100441350661	0.779781315441826	0.938884029999246	0.8101266133023	0.265570843606071	0.573691977129388	0.68185696818977	0.457831703630606	0.635195703958265	0.826207353733666	0.777835314265762	0.815173693358197	0.870111036392539	0.499146504230065	0.587399332938319	0.498633578887361	0.84978070839807	0.929056060968313	0.655615958997378	0.285735880662521	0.703738302471322	0.669336333949737	0.574310479013484	0.224430426457208	0.491255661426318	0.513779431865362	0.605520637056997	0.659753864282852	0.554687320267377	0.476933669758633	0.45562991911174	0.820249102469838	0.805979465352834	0.96149113554207	0.352157271074245	0.700581280255107	0.929005684613235	0.615380253859366	0.407839169275661	0.817774539426647	0.899649141866668	0.907192039131451	0.829959335836414	0.781461585794794	0.976071887547568	0.934456344217397	0.500465730314275	0.985703214294219	0.325092208049534	0.861791558028997	0.958071781296062	0.966119448811447	0.597576595937087	0.802986295609932	0.96914130754352	0.950992472295769	0.655858042489259	0.864918452622533	0.573520684410386	0.521485060577305	0.75887525146216	0.842751174223777
ATM	0.410202963625687	0.0320247565365566	0.915863725979375	0	0.100108395446138	0.642220474405082	0.370146695472512	0.088423973269757	0.925774899202768	0.0737458881438054	0.922252785173216	0.0645521553080514	0.0226564521858143	0.353053361975713	0.153516170216941	0.110804093968603	0.111338082051608	0.675809098857062	0.153483253352901	0.202142791971199	0.096562643381366	0.179217950696192	0.353603169164838	0.517032821932069	0.120148978104325	0.822627009871657	0.824359458819968	0.610599789443907	0.111927449429351	0.0787460207053174	0.150789460460986	0.299531726677778	0.0563979387894907	0.0666009600171615	0.0799650344782729	0.818023735319112	0.854526863866104	0.188769986797884	0.0626470378053112	0.490681241210417	0.0302797659592334	0.250495664079374	0.398006605569663	0.0441683130700635	0.440572812242817	0.999767884882811	0.354133971383892	0.928690834138876	0.343678533394644	0.0970695278659622	0.939357241877388	0.303310494443543	0.380285982283953	0.273328009767942	0.416439036540955	0.115625965569568	0.766830846555343	0.264399272300303	0.0770377450643806	0.728184216064007	0.207392442588719	0.916137542195673	0.723289093767144	0.215758267101487	0.681140266692279	0.127546418764788	0.0701134439594086	0.361334888139718	0.103670637594655	0.292819351974352	0.96330061107473	0.125303679499279	0.109950115639237	0.548765085078088	0.0266674016606676	0.109972476962062	0.0767929100631746	0.225464487505664	0.203548049436394	0.689157897472537	0.248308721972096	0.724188944473536	0.0499054466105944	0.135377360632484	0.207262861112429	0.247979791685318	0.0550923462333341	0.347032854870139	0.36987027172225	0.705534356605978	0.067748379510537	0.104837126996682	0.136008734869934
ATR	0.245009401135254	0.06491370796163	0.647457776359864	0.100108395446135	0	0.267777363755798	0.556684051029292	0.304996328086035	0.957350910186799	0.403119149580455	0.888984016322136	0.345780525912389	0.0843685024196927	0.530102881149694	0.321347028884803	0.108052998755182	0.132408606047851	0.784232834196275	0.180240341220321	0.452564532784041	0.117900029027491	0.136916632136067	0.458861076997394	0.649975221898011	0.10561448476465	0.502129715884262	0.553804372761106	0.225667619541438	0.132182948417969	0.256476417743486	0.0747045300904134	0.2175463171949	0.0827007786455268	0.0719879862203705	0.247432594390341	0.936177925387719	0.864899435951073	0.145446932589575	0.223558491917826	0.244146273428558	0.183400627752525	0.631922564387603	0.32357843808551	0.104514928319327	0.34623337060756	0.912634619183115	0.488991514922624	0.930407390405728	0.163193903038816	0.0825806824224392	0.607151979555556	0.564690035619639	0.840518032566124	0.262083068769588	0.969660640009428	0.179986924685632	0.688161268878381	0.175913929747914	0.412391966159008	0.824993240815293	0.620466977393489	0.693361953525496	0.991146227684722	0.186163105449332	0.798903576111456	0.186128224211773	0.112693925354518	0.337800083787312	0.180825494630807	0.156920336108433	0.825276452929115	0.344082742962716	0.208343122550777	0.599429707469521	0.132200513684789	0.162040123762356	0.282609233133927	0.679545191653863	0.685016865781595	0.907288747399455	0.27192956082004	0.782357206928014	0.196273374096004	0.191378875929587	0.234455589352554	0.428980593649302	0.135855408091773	0.25559394199142	0.437186141269373	0.944454140578977	0.327728229677513	0.159664832773036	0.246361407130938
AURKA	0.158992859616839	0.290719349884358	0.710665318767475	0.642220474405055	0.267777363755787	0	0.627124427330124	0.605606639175979	0.65765295018095	0.83923761992613	0.723700438839184	0.897473629216183	0.352053558338946	0.704688369384494	0.650103467894644	0.15095425387488	0.090644246688986	0.982930756125219	0.25542776956049	0.855759486813637	0.272357388858886	0.139826989265778	0.3339451677715	0.717898988634264	0.261121400156284	0.424035281061976	0.362028487306519	0.43960308719496	0.292467098438291	0.824873354196695	0.253872654478614	0.292349304380682	0.23868994599581	0.206547229559363	0.558979683761359	0.579124530830883	0.51587810483505	0.190004552828579	0.601240923091686	0.169234155171321	0.393390883710317	0.805791300383787	0.244224976245523	0.222555438515943	0.73035359888857	0.809964363857489	0.455811140076579	0.622063329423892	0.139076764473039	0.239775041424635	0.399255785010891	0.353805585787452	0.467135259745659	0.388641253539531	0.622002212944589	0.168752155305135	0.915214058064982	0.215614684272881	0.635728314425495	0.860635270866587	0.891477162215114	0.681172279894901	0.662318637255349	0.360722299696428	0.604332059764108	0.62853101386899	0.515725837502212	0.362638726171549	0.255255681104571	0.442969814170236	0.938143954338762	0.744072481425928	0.427273927890299	0.559555564710263	0.475321730399477	0.404128519851645	0.608397826580959	0.96698937917479	0.969554138467771	0.760629518192263	0.358217748786924	0.658280511261045	0.69526996621912	0.232391290820396	0.473625604544602	0.992210555895034	0.614911205945125	0.398262560492554	0.858080017342279	0.760723726555498	0.700556462420864	0.261979984303793	0.344911027423279
AURKB	0.344326595846023	0.248785109295932	0.872039131367102	0.370146695472491	0.556684051029273	0.627124427330125	0	0.800732104438355	0.801304470285466	0.322726042789459	0.464150107979354	0.753074303088461	0.331674067449454	0.149073519191963	0.433311969328215	0.377585914475734	0.431715209257061	0.309459215101647	0.187473832403593	0.821531359715917	0.264415050541066	0.437290937029922	0.818721256285024	0.591531520958707	0.292341801230567	0.725863106286897	0.795525890095632	0.876878525904969	0.231956310309248	0.292123386252856	0.275377332228755	0.264371236965364	0.460039765942229	0.233195816182556	0.295070109167541	0.584390678410579	0.851229144176112	0.272263158712699	0.330419014341868	0.382957245534578	0.295471445006747	0.531668008168128	0.43539227791537	0.276418354642094	0.374080903210039	0.514844877079176	0.340074959885485	0.810795837649989	0.60596649038237	0.34563544846013	0.620328292694963	0.195453585299041	0.903401963608249	0.332325440473246	0.963762116791356	0.414660964676317	0.639369697277676	0.369122001154401	0.485863006193174	0.569325649488723	0.323404989746068	0.7484409198146	0.96585314780281	0.431194371872912	0.67411152533716	0.323435903582071	0.511161673702452	0.261023561776459	0.271300511747077	0.770514027893939	0.74362752523434	0.550881040530471	0.457926265566215	0.929189644953088	0.28262344038426	0.34269623076022	0.2747797067429	0.76852315949493	0.517529155840645	0.728101890765667	0.315125379960848	0.42860890921444	0.695364138936314	0.440382431128876	0.360367629449212	0.598318134267046	0.478864470762581	0.273453093667393	0.615890444341109	0.668764935008911	0.52710938832752	0.587234278591702	0.594572241122136
BMX	0.940984493021842	0.122666296137252	0.653657412172199	0.0884239732697635	0.304996328086052	0.605606639176009	0.800732104438386	0	0.390268148569014	0.253417551741766	0.581638948534051	0.0217007762046403	0.173304866496812	0.707231939413108	0.148091063071931	0.233215479312893	0.156876461072431	0.970324511965741	0.396682020546774	0.0660710216242721	0.238505533887256	0.327826878559866	0.0479721385996757	0.928173085394969	0.517269894357456	0.323539932043402	0.318965206264959	0.757988897092358	0.549694629639147	0.108519460055661	0.78696784096541	0.857191654752722	0.213012312563481	0.363595710280742	0.482919854252003	0.353860062546285	0.88636524773633	0.59650499149404	0.324017454622872	0.773952032264859	0.0492791557604569	0.374624436046188	0.835821263039892	0.279517702850226	0.766872573297855	0.593141923183768	0.529232367391105	0.907362621880761	0.254001482752502	0.525431383639157	0.524144558057729	0.603232180905092	0.215922511962227	0.838510989289834	0.103246804723872	0.109652876497643	0.296012525683127	0.162937591119092	0.0283915116580557	0.796659288283538	0.259746244527091	0.257563872369904	0.628978587173217	0.483765021918384	0.884924935566471	0.333418382250184	0.183151408134695	0.967610371469165	0.509122261942734	0.272588156018573	0.933675398801034	0.176433219042152	0.429568251755081	0.171674616706426	0.0658770788433643	0.120204344423737	0.195088690526007	0.0272612562135473	0.374111728913971	0.90041257204906	0.9374375734511	0.698016005789371	0.0375416843089879	0.118417599494569	0.922219180318575	0.732053717914743	0.0887597289575534	0.818590461790228	0.385661082407034	0.111615589986548	0.0206662857234765	0.068536336474436	0.120892959267959
BRAF	0.873253632439821	0.816707440466495	0.437098475859605	0.925774899202758	0.957350910186787	0.657652950180959	0.801304470285459	0.390268148569026	0	0.909181043766461	0.809326291219592	0.56989220682418	0.900417567864275	0.738094593878323	0.691897285535339	0.970570656677701	0.75162947677893	0.715765030271134	0.854249108236854	0.334359711086397	0.876408222349627	0.627959734384572	0.10431378637413	0.210943534199417	0.635163938665449	0.173019379339684	0.410135075852951	0.802606523318113	0.472764520208921	0.86140952963626	0.425238527133563	0.360392249783894	0.838455666020064	0.740685254676675	0.608988151111022	0.357594070206419	0.619860776973796	0.842650808307912	0.596336697936344	0.456916600679412	0.519119858350807	0.967217736008191	0.613594175690032	0.785619378128205	0.195622459065177	0.226934933580366	0.479870248507825	0.993510286251228	0.445531321709577	0.528857333023683	0.29266245721223	0.95736544479935	0.719344464933007	0.388418403492861	0.334610250203045	0.400133270718117	0.946978873615015	0.524522437036526	0.422507955712009	0.596542389183707	0.842960957306611	0.0889678536186321	0.505372324112827	0.82604427970299	0.918722027547024	0.456961107677571	0.800052542884585	0.458233267190482	0.590819801112326	0.92916919377877	0.978221431292434	0.626140332881017	0.918088453738751	0.136204579825586	0.904598549090868	0.632360218456264	0.936515355585776	0.178219695727914	0.755115660424857	0.838367568941202	0.36156912944213	0.827021078599722	0.786021149241036	0.550787359327253	0.347665618796709	0.321478393720491	0.747444299223651	0.294851073012994	0.775008705258971	0.0618098639708267	0.379626223531305	0.468402186779761	0.63288276462523
BTK	0.29622196394947	0.0727795590344824	0.523320960781053	0.0737458881437979	0.403119149580446	0.839237619926145	0.322726042789467	0.253417551741747	0.909181043766455	0	0.366710609219082	0.190296615440946	0.118715720830445	0.203577864407334	0.0759027401223217	0.119413913837875	0.210784322047696	0.243445051967448	0.187604844582142	0.279980566068706	0.0667165089052008	0.34255191912853	0.59423517555859	0.477727849986084	0.10861104732039	0.732280092555912	0.759832437776782	0.978137293644875	0.215720371614861	0.122276639706368	0.287223189543779	0.302962168207757	0.13525100424345	0.0756423921937144	0.0529758536144014	0.421657820997582	0.636712090013015	0.169184779901309	0.183800915333733	0.455683207314874	0.0575183001045151	0.0834958330889279	0.358397964970054	0.0809736809896276	0.431328354358438	0.711476654020876	0.0585758466123669	0.56418979590288	0.399627115647825	0.176518871622423	0.996128879543962	0.0577086483807552	0.767512967109881	0.26530141441282	0.307388425555849	0.0732658159730659	0.888327769153288	0.252802511885736	0.0658966012050447	0.15712551522075	0.0732566733401354	0.871615025149308	0.746765603019466	0.381809093553257	0.93847749649366	0.451347361289678	0.308362109112316	0.165101675497348	0.096910997305663	0.720607324313335	0.688455679214746	0.0937833667042073	0.0636916013899731	0.91948961370309	0.0576931097957936	0.124453959114664	0.0866881035788755	0.278633109143652	0.200099008517869	0.405919163763468	0.234001004773051	0.392751161461983	0.137702545055381	0.104312136029956	0.118863730816154	0.235817995689789	0.114591496007031	0.29606990575207	0.189659185074788	0.854791367334943	0.05957451996964	0.105663916210371	0.229532518536932
