ABL1	AKT1	ATM	ATR	AURKA	AURKB	BRAF	CAMK1	CAMK2A	CAMK2D	CDC7	CDK1	CDK2	CDK4	CDK5	CDK7	CDK9	CHEK1	CHEK2	CHUK	CSNK1A1	CSNK1D	CSNK2A1	DAPK1	DYRK1A	DYRK2	EGFR	FYN	GSK3B	IKBKB	INSR	IRAK1	JAK2	LATS1	LCK	LYN	MAP2K1	MAP2K4	MAP3K5	MAP3K7	MAP3K8	MAPK1	MAPK11	MAPK14	MAPK7	MAPK8	MAPKAPK2	MARK2	MTOR	NEK6	PAK1	PAK2	PAK4	PDPK1	PIM1	PLK1	PLK3	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKCQ	PRKCZ	PRKD1	PRKG1	RET	ROCK1	RPS6KA1	RPS6KA3	RPS6KA5	RPS6KB1	SGK1	SRC	STK11	SYK	TBK1	TTK	ULK1	VRK1
ABL1	0	0.527861538452618	0.96692817086284	0.799076191863015	0.0742066020057437	0.933947360182887	0.145521608300603	0.0366715283220354	0.673124890914144	0.250784642864681	0.138349141236309	0.278170047995242	0.426539167844972	0.573330375961143	0.717370727799469	0.113428343642592	0.354529280332015	0.25505717277738	0.587575226014519	0.718811727135454	0.253422989362253	0.0229094480714305	0.464670636355431	0.193227369922947	0.92658097016768	0.193154260623097	0.103108591604151	0.85434349256372	0.573737236238594	0.0674398390124301	0.0519913429642324	0.377289608438433	0.628180852996765	0.980823275735953	0.0292759513718043	0.056192878836912	0.984207582360688	0.676646648426669	0.318778717239597	0.089241436333596	0.0363054921655045	0.129056276061943	0.338799191156718	0.267795696792796	0.0153736153574359	0.638794969538837	0.448713521714923	0.313013180017719	0.00166765119358603	0.343210351460614	0.949504854610289	0.163290019252038	0.666012441549334	0.81781110875239	0.398183438117101	0.228985933584801	0.495106220185595	0.155541366129402	0.00412227054199899	0.767128059503629	0.337059936761185	0.754339261424677	0.22819505576066	0.705698227700814	0.601127846276645	0.944657546595195	0.693438373224724	0.0627072061490504	0.385491677814646	0.859560351558519	0.859661008663937	0.925533113800349	0.783979363996981	0.804991224092265	0.841140973577371	0.00548871973787127	0.0539673491100339	0.811083993343428	0.257445092210605	0.0685053779084836	0.921706504170944	0.0519150571716988
AKT1	0.52786153845262	0	0.70569583042504	0.843541517942913	0.469089903709692	0.784171413864087	0.105408860215559	0.507915282511699	0.853785051529848	0.392299684966808	0.476065387338773	0.132678533027353	0.862741621449325	0.936615462426575	0.392248974924853	0.664164202673601	0.668369359915671	0.173606934886337	0.593636391780759	0.718913647011973	0.562929837652229	0.505047169232859	0.110600638574588	0.513156018478607	0.849703988377006	0.0150132152323197	0.515374059821781	0.2972349717808	0.194500675573595	0.000697809027375472	0.656358677962797	0.612819410772068	0.0733843093621975	0.810008675891746	0.128320794048797	0.798743895313644	0.322932419752439	0.851088614389557	0.257966848401621	0.620501188750362	0.444691609963332	0.436609932673616	0.725400328569922	0.927098317504075	0.440077799326203	0.061427443405951	0.127208609550339	0.38901711749055	0.0291421279462867	0.90681707988037	0.349015956676142	0.0576097658571611	0.0821981395081236	0.378345787711164	0.973414574681173	0.611125321707268	0.865713719145461	0.125270392641498	0.804959998461465	0.00457814912086997	0.63426791364819	0.0368144952113586	0.326238536358414	0.10668779310881	0.354530225230846	0.788847095763075	0.18065952077519	0.141582335580193	0.834023654027845	0.747459050321723	0.0170399490287455	0.66609420684651	0.827708750171535	0.00467161612038399	0.0932675418751554	0.869793961713303	0.933524414594457	0.037672063232364	0.190044031579804	0.0456687013772014	0.726755494278455	0.439348983305409
ATM	0.96692817086284	0.70569583042504	0	5.07444645120159e-06	0.828203891429547	0.531436306039517	0.470044204785169	0.777902542905491	0.582836436690916	0.18084442794348	0.74469396216638	0.375622275760231	0.0603445123886096	0.142235995529146	0.779801377150691	0.31195713364233	0.0311667471313129	0.468823655559604	0.201979383043534	0.0843326063822581	0.727314627909793	0.0197096298572432	0.382049459489176	0.243642161675745	0.85199527281076	0.586756233081808	0.282911000127622	0.645327042036753	0.277733849723278	0.237512248725398	0.161045439763779	0.957200884307261	0.271799159250288	0.672485581328053	0.15288604803623	0.0544229129623707	0.559470598097486	0.885946544142897	0.985125826652005	0.95093450320212	0.0575045028790097	0.378568427162789	0.933373528959007	0.836440274436839	0.257955308072693	0.893881464070714	0.972361047522764	0.923519876571661	0.949884186264492	0.534368953912228	0.021499617568379	0.45396361023154	0.349265771215247	0.590850665162949	0.776089243157485	0.106207791629292	0.730729124167283	0.94111481285731	0.183118055192424	0.712645522329581	0.732888043184511	0.320957718604672	0.770591279439526	0.0592131436162155	0.265826188540747	0.085800610248489	0.516809725260743	0.0693576605701278	0.32500958734913	0.968267245985325	0.496024878506794	0.0868383630628258	0.444666127578201	0.0636464995098515	0.637255543690447	0.948647305469262	0.324972449114333	0.0800823048353753	0.565145076335602	0.606446766303959	0.4605550334362	0.963001978502893
ATR	0.799076191863016	0.843541517942914	5.07444645120162e-06	0	0.62612273577001	0.706192694913832	0.813834081292972	0.367864016539603	0.424708310262192	0.0306048908422177	0.0724980615567472	0.0867383643327626	0.573915667206773	0.414682358603577	0.0517309148656429	0.16206429469888	0.13962041730119	0.35540010587344	0.359940170555119	0.605050678803837	0.852095234038124	0.295542296314013	0.500173735939782	0.70047178204534	0.161764396409638	0.202536939844488	0.570713679061708	0.572078089440665	0.593740567411055	0.1153868071565	0.709931684148221	0.106659772175822	0.788946039809969	0.587145292554039	0.70556686559655	0.0237441992153934	0.493087621495681	0.937649613546429	0.108931522054456	0.502964377768104	0.396533593738961	0.227811146355241	0.560342937329343	0.103156387987132	0.791105435304549	0.165941341603007	0.164802967928971	0.81413967858825	0.956495911948515	0.850190148842785	0.774325656152812	0.209608067993953	0.159319134440786	0.53256478860351	0.742019428173061	0.203300001548276	0.669298953073377	0.712294792940067	0.197348877799333	0.516498188201926	0.723349795266828	0.865928892232974	0.764155043781207	0.839047301945906	0.752251513802608	0.982050733713403	0.0533649676674697	0.08618996033046	0.64374401017732	0.244889127386161	0.404585904559325	0.436001009725569	0.711799061125263	0.0346174803754385	0.548370211892652	0.0543115938545206	0.540959686910673	0.0163244722520639	0.262649765602744	0.935234015604911	0.959678799365577	0.852911121368083
AURKA	0.0742066020057435	0.469089903709692	0.828203891429548	0.62612273577001	0	0.609295658885111	0.329940185773496	0.959272930195391	0.0767783644576309	0.173681219264852	0.974231682549711	0.496475225068545	0.896683201305719	0.954079432983258	0.716484288931261	0.556534791749686	0.767249706808851	0.0664144844757667	0.702346647518575	0.764400128024124	0.613770339795756	0.275896918369692	0.805607915906239	0.662009106253394	0.399567868910045	0.185821761015121	0.206930906805557	0.231975562225014	0.397840494832257	0.224033976802645	0.121945670351586	0.862545321065273	0.654802396402794	0.451942646334824	0.629784987390559	0.873914299917858	0.429219788703767	0.767391644207738	0.856306011518714	0.185354688287684	0.546536155746476	0.896710726323549	0.420342320558551	0.737645701299414	0.583791352697029	0.911402830765016	0.879917917722479	0.408413337059442	0.540543662272658	0.436843934356544	0.246505975816448	0.92512117688708	0.63257794348911	0.52748029788305	0.290908532117657	0.487966472748329	0.110255070577984	0.1314207672744	0.960451092993626	0.568922369692682	0.131123712342613	0.91818490220895	0.240198409864771	0.626088245738576	0.371976528543438	0.29706896366415	0.801631732959733	0.850737911485355	0.328452102745652	0.918670712099583	0.519413974151321	0.00560614982710082	0.487687304982613	0.53867903304094	0.22661272082586	0.011199588459154	0.464851121809811	0.708806173276412	0.425830206306306	0.0680714498444098	0.590701462253965	0.330782273565915
AURKB	0.933947360182886	0.784171413864088	0.531436306039516	0.706192694913831	0.60929565888511	0	0.875256442802611	0.173976859829139	0.11067348204967	0.450917611109091	0.17713462391683	0.325853634562589	0.786013384571973	0.210092884952593	0.509578578991887	0.46453314857597	0.332578728362063	0.342893689895988	0.460122018256583	0.445513833303178	0.411288390195597	0.480627523267784	0.098311960661602	0.385977303861216	0.843476226001666	0.420932539492068	0.42290204091351	0.159266861526815	0.197839761249734	0.741318128349704	0.768773463211804	0.205214986811333	0.548793606114487	0.128691648984476	0.991606734961787	0.053584697955112	0.353673526505549	0.0423835024429499	0.849488440397288	0.114433116047068	0.292609368403301	0.922793938914397	0.298049756908206	0.00323585018816165	0.0605255081510947	0.391384748281244	0.218345659567905	0.330410672642202	0.332198536242037	0.462787728090455	0.52503514833434	0.146510147123302	0.310299124507933	0.768786617402401	0.897294996390968	0.0671444921329442	0.627630334709826	0.131145655153467	0.00472224818391314	0.662733146245464	0.476552997313834	0.0944285424416752	0.58487281985839	0.521585520247368	0.0168583219094926	0.200824079599977	0.811926062165518	0.956567259905973	0.745176072803939	0.0635906291442267	0.886414989442988	0.782534842912083	0.907321570550503	0.168068142114255	0.842468354245544	0.272994367046108	0.823233363833835	0.671170821285384	0.335962090491444	0.960872902535453	0.490401511949367	0.780694417291596
BRAF	0.145521608300603	0.105408860215559	0.470044204785169	0.813834081292972	0.329940185773496	0.87525644280261	0	0.362756141420765	0.828364916239192	0.455552219960762	0.166737596846282	0.316042389627665	0.630780468296969	0.58942759269758	0.529858258510335	0.199175459023512	0.330997624250481	0.313375575958311	0.252192031369416	0.00896724875373313	0.0522157477346262	0.385340179521721	0.333518336376899	0.623943546717753	0.995947972051467	0.932046771416386	0.0772475946597271	0.0563798950675377	0.776551607975463	0.543931743030972	0.958765071080463	0.100783195284184	0.452157134096969	0.244485069825099	0.460752356647315	0.224675997528205	0.621527454927365	0.972969510630986	0.185706263617742	0.472002385591966	0.00145160393451513	0.128315633693978	0.414831788996852	0.48182168320698	0.744350674334683	0.572550562652323	0.342814003402206	0.010339601170933	0.215228359985819	0.161199448712459	0.0337281410669661	0.964837647569793	0.619178919567993	0.178367233762552	0.260878536325639	0.61749629477658	0.245008494335364	0.682093627358514	0.235650822472508	0.14240999977134	0.00598528361895314	0.0102502757957272	0.000600985176920121	0.00286530311515956	0.19810230625056	0.149894018130072	0.475712842210265	0.276100211284869	0.920964052909251	0.525956428290914	0.947939010133955	0.2485551942184	0.00776309205658061	0.325532380065484	0.599174972333325	0.714924029077021	0.937944389954453	0.893536924309534	0.529118967080812	0.376857781264631	0.617819538290573	0.195495534423745
CAMK1	0.0366715283220353	0.507915282511698	0.777902542905492	0.367864016539602	0.959272930195391	0.173976859829139	0.362756141420765	0	0.659845022281719	0.13045493208291	0.109427905323175	0.735103954737226	0.185628889891946	0.370640178334977	0.690142116321612	0.224326497658515	0.218767404191078	0.535966128454728	0.593852488535414	0.130279359499272	0.907333918895339	0.0409319700747349	0.923834192011566	0.00428624066202548	0.309124876319413	0.210849371441602	0.48005123241679	0.581513670052485	0.318608163107745	0.583316722776832	0.183978040278906	0.337437885483655	0.536454864485073	0.421548579390571	0.751615282730778	0.37428890724397	0.721937702979846	0.0422599777548614	0.735188835002068	0.837409986594655	0.976006503443355	0.465086135337423	0.728077528665958	0.46019092299631	0.393971067650103	0.898742394121092	0.912326048325231	0.977687242492092	0.575871209308621	0.00165344515343828	0.759434906046244	0.473786354682736	0.174346122187659	0.785939720434753	0.0873174701479738	0.425731316401287	0.750364651457936	0.0862473107139689	0.236806760565982	0.35613265842936	0.259735958938545	0.161239543245737	0.809399563874782	0.590688952105451	0.53684849424586	0.127437705404999	0.947059465495933	0.771205830549361	0.307836501488999	0.166690608029602	0.288332212073301	0.702392644548568	0.525317213407384	0.271099483990267	0.967748727795259	0.289451293403213	0.768599721959657	0.687516007565237	0.132346265864641	0.822230102408111	0.117930855306282	0.510164086113285
CAMK2A	0.673124890914141	0.853785051529848	0.582836436690915	0.424708310262192	0.0767783644576309	0.11067348204967	0.828364916239192	0.659845022281718	0	0.859907327227524	0.531178916872436	0.262445331011886	0.445690793226733	0.77311382734774	0.340002096083121	0.799333366202304	0.202196542606306	0.0178775934038508	0.395618712398241	0.280820436907285	0.305476986581436	0.667358035673179	0.029628851228041	0.67201589331326	0.19479727445628	0.591615367913373	0.653381249015645	0.625337550979324	0.49185516494189	0.21479789174356	0.225922257951311	0.944021215031254	0.9197277426058	0.193226225259073	0.625317172680357	0.932154325031219	0.933092208596315	0.12664079261719	0.482242931585745	0.7362946707635	0.00276371712479381	0.402209667134319	0.076169012169775	0.44898170269319	0.286363499128949	0.893851329643602	0.0808924257057898	0.812406521722977	0.148651672873089	0.505096940907429	0.332064741326453	0.774110140001067	0.429609403807925	0.132740955516161	0.898350898880181	0.923355739530906	0.301088333807916	0.532035699553798	0.350107363373009	0.0986256748909063	0.762738086117085	0.00948001419698509	0.456982988539772	0.699316218149622	0.439477217837879	0.25789102095846	0.0359912200645034	0.0917895125399298	0.788196947640666	0.769440023990164	0.0841029678472893	0.880275532222621	0.691599278081391	0.622675732260284	0.739252272580024	0.474782132385838	0.665487302897663	0.3487807891696	0.720643128050796	0.589907729066259	0.362775238908393	0.523633019433225
CAMK2D	0.250784642864682	0.392299684966808	0.18084442794348	0.0306048908422178	0.173681219264852	0.45091761110909	0.455552219960762	0.13045493208291	0.859907327227524	0	0.344238876146494	0.88042477748822	0.829647798767847	0.172614089839931	0.442008815832765	0.986185364084269	0.83055882057644	0.120776055132391	0.675671636776678	0.47289198057291	0.814643412102553	0.553732338129177	0.477758617827545	0.296226991229634	0.349088619031374	0.894093044266018	0.625035240301328	0.914108072108312	0.783982565820004	0.00289264888932089	0.451618895253697	0.863743960773503	0.358728445832809	0.698309909576358	0.998509133886193	0.0792792716056189	0.448482842210964	0.961174862720133	0.418017974079792	0.740484238754965	0.911465211281251	0.290107776549772	0.447284090254517	0.853094107249097	0.663379750587241	0.0399654681421972	0.129421226049686	0.0972389003516588	0.114281240172606	0.600456509668314	0.596212602006786	0.0044132291570019	0.0653273533167153	0.740605193163726	0.313415765908297	0.967466532668496	0.358374248988361	0.000582103160173618	0.434904168441103	0.0627788598091457	0.655778661329869	0.395432183058004	0.101317446494499	0.936266328652206	0.984188586609599	0.821987280225292	0.0518978127034712	0.619899527432501	0.588753027608966	0.871263042694523	0.297489386378772	0.519476254215925	0.220420706500096	0.330716817266925	0.503597117924417	0.17754385520123	0.34390742085826	0.631653037052652	0.351359632924426	0.137793037421944	0.375482788169091	0.148457863735179
