INSR	CHUK	5.3259079206e-20
JAK2	PRKCE	2.3716844308e-18
CAMK2D	CHUK	2.53841590864e-27
RPS6KA3	ROCK1	1.47324904119e-16
CSNK1A1	PAK4	4.74050086484e-16
CSNK1A1	MTOR	4.86202155011e-16
CAMK2D	AKT1	6.01509088557e-18
PRKD1	CAMK1	3.66917784219e-19
PRKD1	PRKACA	1.25958758066e-17
ULK1	MTOR	6.2067673214e-18
PRKCB	NEK6	1.77878863019e-16
PRKCD	CDK1	5.4263116807e-17
RET	PDGFRB	4.23311270793e-16
DAPK1	MAPK1	1.04006278131e-19
BMX	CAMK2A	6.82026883352e-23
PRKG1	IRAK1	1.32191016415e-18
CDK7	MARK2	3.02022465823e-17
ADRBK1	MAPK11	6.27023903032e-21
FER	ADRBK1	6.18852051234e-23
PIM1	INSR	5.6767494125e-16
ATM	MAPK11	2.1661446552e-18
CSNK1D	CAMK1	2.01532458574e-17
PAK2	CDK2	1.39395338546e-20
ADRBK1	IKBKB	3.16561232247e-17
PRKCB	TTK	9.378985678e-18
PAK1	PIM1	3.72674778813e-19
CDC7	MAPK1	1.43955561766e-19
ABL1	IKBKB	3.40939002126e-17
NEK6	PIM1	1.85691441771e-25
VRK1	ABL1	1.07229656431e-19
RPS6KA1	PRKCI	1.75806333472e-17
FYN	RPS6KA3	9.96422122079e-17
PAK1	MAP3K7	6.13654420531e-16
PRKACA	MAP3K7	9.75176083513e-16
CHEK1	SGK1	3.28568987273e-17
BTK	MAP2K4	3.27770749546e-23
CDK4	PRKCB	8.04892873514e-19
PRKCE	MAPKAPK2	2.34464253673e-18
RPS6KA3	CHEK2	4.12951062119e-17
DAPK1	MAPKAPK2	5.81751013989e-23
PRKCA	TBK1	8.00712729231e-18
MAP2K4	CDK9	7.33842687344e-26
PRKAA1	CSNK1A1	4.18054267048e-18
TTK	CHEK1	4.97489123503e-17
PRKG1	MAPK7	2.02673186586e-15
INSR	DYRK1A	5.86263066655e-16
PRKACA	PDGFRB	4.93232187931e-17
MAP3K7	RPS6KA5	1.39630987121e-16
PRKAA1	ROCK1	2.06193047526e-16
CHEK2	STK4	4.88506721448e-16
BMX	STK11	9.26840983247e-23
CDK5	CSNK1A1	6.15196680753e-18
IRAK1	CAMK1	3.097583084e-23
PDPK1	PRKCA	1.46774388851e-12
DAPK1	CSNK1A1	2.07033794854e-19
PAK4	GRK4	5.03694834962e-24
RPS6KB1	AURKA	1.86896634169e-17
EGFR	MAP3K8	4.42372292002e-19
PRKCZ	CDK2	1.27666685923e-18
PRKG1	CDK4	2.20665041379e-23
CDK5	TTK	1.00100261622e-17
MAPK14	JAK2	6.51572376489e-16
DYRK1A	MARK2	1.88138332826e-16
CDK5	CDK2	3.86193277109e-20
BTK	PRKCQ	2.86688406578e-21
ULK1	PRKAA1	8.97994547966e-16
PRKACA	IKBKB	4.22072755435e-17
MELK	CSNK1D	3.16903625764e-18
AURKB	PRKACA	5.77378493803e-18
ADRBK1	CHEK2	6.12028315319e-16
PDPK1	PAK2	6.08840946053e-14
PRKCB	ULK1	6.76559760036e-17
IRAK1	TTK	1.98218173157e-20
BMX	CAMK1	5.12326240567e-23
RPS6KB1	MELK	3.35461018716e-16
FYN	DAPK1	7.30762026234e-20
TTK	CDK4	7.11923404428e-20
SRC	PRKD1	2.05354608284e-17
CSNK2A1	TBK1	1.00286712928e-17
LCK	MELK	5.38319176466e-17
LATS1	PRKCD	1.94007337462e-17
PAK1	MAPK1	1.54010434695e-19
RPS6KA3	CDK7	7.02949297227e-19
GRK4	PRKCE	1.41892966596e-24
MAP3K5	SYK	5.32002540623e-19
CDK9	MTOR	1.69191831451e-17
ROCK1	CAMK1	1.06280240919e-17
FER	GSK3B	2.8594623998e-21
PRKCE	CHEK2	3.75308001788e-17
MAPK8	PDPK1	4.23311972918e-17
ABL1	SYK	8.96066782465e-16
SYK	PRKCD	8.86041249725e-19
PAK1	LCK	2.37797900021e-18
STK4	RPS6KA3	1.54269970395e-19
ABL1	MELK	6.27238950731e-18
PAK2	ATR	4.09263711864e-19
PAK4	IRAK1	6.68550697917e-24
FYN	TBK1	8.9075324821e-17
CDK7	CDK5	9.59718689357e-18
MAPK14	CDK5	1.08948716692e-19
CDK4	CAMK2D	1.31753952798e-18
GSK3B	PRKAA1	6.37177131082e-15
LYN	CDK2	4.15583245993e-17
MAPK11	CDK2	1.4272475841e-22
MAP3K5	GSK3B	3.95850829287e-18
ERBB2	CHEK2	4.11913521958e-18
FYN	PRKCI	9.38348859082e-19
PAK4	CDK1	3.65691580164e-26
NEK6	CDK2	1.23298914197e-23
ADRBK1	ERBB2	4.67001724649e-17
MAP3K8	AURKB	1.11842880746e-17
MAP3K5	MAP2K1	1.07664539503e-17
CHEK1	BRAF	4.2871809329e-16
CAMK2A	MTOR	1.37111690994e-15
PAK2	TBK1	1.61604844998e-19
PRKCQ	BTK	1.90409721217e-17
MAP2K4	CSNK2A1	1.39875472641e-23
BTK	MAP3K5	7.24126731318e-18
MAPK8	JAK2	1.39294894568e-15
PLK3	CDK1	1.02054820857e-18
PRKACA	GRK4	1.26723072042e-18
ABL1	MAPK14	2.12924720488e-17
MAPKAPK2	CDK5	1.48458236426e-21
MAP3K7	PRKCA	3.30784841173e-17
MELK	BMX	4.81290363853e-19
PRKAA1	CDK9	3.05015534814e-17
